time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
9.87,1545110772,78.14,51.449429,7.488431,253.69,12.13,0.57,174.66,1,-113,-9,6,10,24,13,12918809,429,0,6.00,19.01,49.00,1845
19.87,1545110783,210.86,51.448243,7.488167,255.68,13.94,0.11,193.10,1,-113,-9,14,10,24,13,12918809,429,1,9.00,14.61,32.00,1845
29.89,1545110792,347.07,51.447033,7.487890,256.42,14.04,0.37,175.66,1,-113,-9,16,9,24,13,12918809,429,2,1.00,15.09,32.00,1845
39.88,1545110802,492.37,51.445856,7.488844,263.77,14.68,-0.41,142.45,1,-113,-9,18,13,24,13,12918809,429,3,4.00,5.12,35.00,1845
49.86,1545110812,641.46,51.445008,7.490598,272.71,14.74,-0.05,127.34,1,-113,-9,8,7,24,13,12918809,429,4,6.00,7.12,35.00,1845
59.85,1545110823,730.97,51.444606,7.491567,272.09,0.52,-0.62,127.02,1,-113,-9,11,8,24,13,12918809,429,5,8.00,13.48,79.00,1845
69.85,1545110833,731.49,51.444606,7.491567,272.22,0.00,0.00,127.02,1,-113,-9,14,9,24,13,12918809,429,6,0.50,4.53,36.00,1845
79.86,1545110842,731.49,51.444606,7.491567,272.32,0.00,0.00,127.02,1,-113,-9,14,9,24,13,12918809,429,7,3.00,15.84,39.00,1845
89.85,1545110852,748.69,51.444299,7.491506,275.86,9.48,4.12,216.50,1,-113,-9,17,12,24,13,12918809,429,8,1.00,3.39,77.00,1845
100.09,1545110862,898.12,51.443121,7.490184,278.28,15.20,-0.15,216.68,1,-113,-9,17,10,24,13,12918809,429,9,4.00,10.57,71.00,1845
109.85,1545110872,1030.32,51.442189,7.489083,279.59,13.76,0.87,217.74,1,-113,-9,15,13,24,13,12918809,429,10,8.00,15.26,71.00,1845
120.32,1545110882,1186.44,51.441175,7.487389,279.09,15.34,0.38,230.09,1,-113,-9,2,15,24,13,12918809,429,11,1.00,6.98,57.00,1845
129.84,1545110893,1324.90,51.440471,7.485788,280.18,16.00,0.65,232.83,1,-81,-9,13,10,53,1,12918810,431,12,8.00,16.54,40.00,1845
139.85,1545110902,1481.57,51.439626,7.483943,281.86,14.86,-0.82,233.71,1,-74,-6,23,15,57,2,12918811,430,13,0.50,7.31,31.00,1845
149.87,1545110912,1637.72,51.438866,7.481941,284.03,16.53,0.65,238.53,1,-95,-5,15,11,37,2,12918811,430,14,6.00,11.01,40.00,1845
159.90,1545110922,1807.07,51.438095,7.479706,286.11,17.71,-0.04,239.26,1,-111,-11,1,6,26,2,12918811,430,15,3.00,2.08,77.00,1845
170.85,1545110933,1981.62,51.437331,7.477465,288.84,14.80,0.85,241.71,1,-115,-15,-4,5,27,2,12918811,430,16,2.00,1.86,655.00,1845
180.05,1545110943,2098.39,51.437453,7.476201,290.34,9.11,0.43,21.61,1,-103,-7,7,8,30,2,12918811,430,17,1.00,2.79,96.00,1845
189.87,1545110952,2214.99,51.438142,7.477565,289.75,17.97,0.89,54.42,1,-85,-6,27,15,43,2,12918811,430,18,6.00,9.45,98.00,1845
199.86,1545110962,2432.91,51.439252,7.480249,289.72,25.20,0.35,55.49,1,-97,-6,11,13,35,2,12918811,430,19,6.00,9.74,100.00,1845
209.85,1545110972,2673.01,51.440673,7.482799,287.10,23.71,-0.07,41.28,1,-87,-8,20,15,47,2,12918811,430,20,10.00,26.68,34.00,1845
219.87,1545110982,2910.23,51.442462,7.484673,276.43,23.84,-0.10,26.47,1,-77,-8,16,15,57,2,12918811,430,21,8.00,12.71,35.00,1845
229.85,1545110993,3132.27,51.444238,7.485876,275.51,16.78,-1.85,22.36,1,-69,-5,33,13,63,4,12918809,429,22,6.00,17.16,70.00,1845
239.89,1545111003,3271.99,51.444496,7.487395,266.77,13.67,0.48,144.30,1,-79,-5,32,15,52,4,12918809,429,23,6.00,16.67,35.00,1845
249.85,1545111012,3410.90,51.443757,7.486338,260.11,15.65,0.74,267.05,1,-79,-6,30,15,53,4,12918809,429,24,7.00,25.94,35.00,1845
259.89,1545111022,3614.66,51.443713,7.483269,264.04,26.53,0.95,267.92,1,-84,-8,13,10,50,4,12918809,429,25,10.00,10.88,47.00,1845
269.86,1545111032,3877.72,51.443524,7.479513,262.76,27.19,0.38,262.86,1,-91,-11,14,11,46,8,12918811,430,26,5.00,29.94,37.00,1845
279.87,1545111042,4159.56,51.443193,7.475476,255.12,28.30,-0.03,260.90,1,-84,-5,32,12,48,8,12918811,430,27,8.00,8.61,35.00,1845
289.87,1545111052,4435.20,51.442674,7.471619,252.38,27.66,0.41,257.86,1,-107,-7,10,7,25,14,12935194,397,28,0.10,4.32,33.00,1845
300.94,1545111063,4757.26,51.442079,7.467053,244.17,31.89,0.03,258.81,1,-93,-20,-6,4,49,14,12935170,448,29,4.00,1.98,526.00,850
310.91,1545111073,5076.91,51.441680,7.462481,236.16,33.51,0.30,264.54,1,-98,-16,-6,4,43,14,12935170,448,30,10.00,4.97,562.00,850
319.97,1545111082,5379.46,51.441537,7.458118,231.72,33.55,0.19,269.25,1,-89,-10,-3,6,45,16,14301697,54,31,9.00,9.96,91.00,850
329.89,1545111092,5720.25,51.441635,7.453203,229.69,34.53,0.16,274.62,1,-82,-11,7,11,52,16,14301697,54,32,9.00,13.66,34.00,850
339.87,1545111102,6072.34,51.442037,7.448171,230.14,35.84,0.25,279.56,1,-69,-5,29,15,60,16,14301697,54,33,9.00,29.93,41.00,850
349.87,1545111112,6431.96,51.442742,7.443179,226.64,34.95,-0.89,285.30,1,-64,-5,30,12,63,16,14301697,54,34,9.00,13.28,48.00,850
359.89,1545111122,6781.32,51.443688,7.438388,222.64,35.25,-0.53,290.01,1,-66,-5,31,15,63,1,14301699,56,35,8.00,13.84,35.00,850
369.88,1545111132,7129.96,51.444903,7.433755,212.47,35.15,-0.34,296.28,1,-85,-5,18,15,47,1,14301699,56,36,8.00,19.18,35.00,850
379.93,1545111143,7469.63,51.446590,7.429777,198.32,33.95,0.35,310.59,1,-90,-6,22,9,42,1,14301699,56,37,6.00,5.50,52.00,850
389.89,1545111152,7831.54,51.449043,7.426343,183.36,37.65,-0.54,326.27,1,-109,-10,0,6,29,16,13806106,40,38,9.00,5.96,48.00,1845
400.69,1545111163,8243.43,51.452363,7.423825,169.08,36.58,-0.19,341.27,1,-90,-8,2,6,43,18,12897051,119,39,10.00,6.83,332.00,1845
409.87,1545111173,8573.28,51.455193,7.422548,158.68,36.79,0.08,343.16,1,-87,-10,8,8,49,10,13806106,40,40,4.00,11.60,67.00,1845
419.85,1545111182,8946.28,51.458312,7.420539,154.47,37.57,-0.10,333.14,1,-86,-8,12,8,48,18,12897051,119,41,1.00,8.13,36.00,1845
429.86,1545111193,9320.97,51.461157,7.417653,153.68,38.12,0.16,322.44,1,-88,-11,0,6,50,7,13806105,39,42,9.00,18.95,37.00,1845
439.91,1545111203,9712.27,51.463720,7.413763,153.79,40.13,0.13,311.50,1,-91,-8,12,7,43,7,13806105,39,43,1.00,1.38,32.00,1845
