time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
9.88,1545110772,78.14,51.449429,7.488431,253.69,12.13,0.57,174.66,1,-113,-9,6,10,24,13,12918809,429,0,0.50,6.41,37.00,20.39,1750
19.90,1545110782,210.86,51.448243,7.488167,255.68,13.94,0.11,193.10,1,-113,-9,14,10,24,13,12918809,429,1,3.00,11.55,42.00,21.25,1750
29.92,1545110792,347.07,51.447033,7.487890,256.42,14.04,0.37,175.66,1,-113,-9,16,9,24,13,12918809,429,2,9.00,13.72,42.00,21.39,1750
39.91,1545110802,492.37,51.445856,7.488844,263.77,14.68,-0.41,142.45,1,-113,-9,18,13,24,13,12918809,429,3,7.00,11.08,36.00,17.09,1750
49.91,1545110813,641.46,51.445008,7.490598,272.71,14.74,-0.05,127.34,1,-113,-9,8,7,24,13,12918809,429,4,5.00,8.12,35.00,20.98,1750
59.90,1545110822,730.97,51.444606,7.491567,272.09,0.52,-0.62,127.02,1,-113,-9,11,8,24,13,12918809,429,5,3.00,12.15,42.00,20.80,1750
69.87,1545110833,731.49,51.444606,7.491567,272.22,0.00,0.00,127.02,1,-113,-9,14,9,24,13,12918809,429,6,1.00,9.22,53.00,20.53,1750
79.88,1545110842,731.49,51.444606,7.491567,272.32,0.00,0.00,127.02,1,-113,-9,14,9,24,13,12918809,429,7,0.10,4.42,41.00,20.53,1750
89.88,1545110852,748.69,51.444299,7.491506,275.86,9.48,4.12,216.50,1,-113,-9,17,12,24,13,12918809,429,8,5.00,18.54,33.00,20.50,1750
100.12,1545110863,898.12,51.443121,7.490184,278.28,15.20,-0.15,216.68,1,-113,-9,17,10,24,13,12918809,429,9,4.00,18.56,38.00,17.08,1750
109.87,1545110872,1030.32,51.442189,7.489083,279.59,13.76,0.87,217.74,1,-113,-9,15,13,24,13,12918809,429,10,1.00,11.53,37.00,20.53,1750
120.34,1545110882,1186.44,51.441175,7.487389,279.09,15.34,0.38,230.09,1,-113,-9,2,15,24,13,12918809,429,11,2.00,16.55,33.00,20.48,1750
129.88,1545110893,1324.90,51.440471,7.485788,280.18,16.00,0.65,232.83,1,-81,-9,13,10,53,1,12918810,431,12,2.00,8.52,33.00,-1.65,1750
