time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.03,1545110763,0.00,51.450129,7.488238,254.47,5.33,0.00,168.61,1,-95,-6,15,12,31,7,13415170,315
1.03,1545110764,5.32,51.450056,7.488260,254.42,5.52,0.19,168.67,1,-95,-6,15,12,31,7,13415170,315
2.03,1545110765,10.85,51.449994,7.488287,254.09,8.45,2.93,167.60,1,-95,-6,15,12,31,7,13415170,315
3.03,1545110766,19.30,51.449924,7.488315,253.83,8.93,0.48,168.19,1,-94,-6,14,15,30,7,13415170,315
4.03,1545110767,28.23,51.449846,7.488340,253.63,9.59,0.66,168.94,1,-94,-6,14,15,30,7,13415170,315
5.02,1545110768,37.80,51.449750,7.488363,253.48,9.88,0.29,170.12,1,-95,-5,25,13,29,7,13415170,315
6.03,1545110769,47.69,51.449661,7.488383,253.64,10.58,0.70,171.81,1,-95,-5,25,13,29,7,13415170,315
7.03,1545110770,58.28,51.449562,7.488404,253.62,11.38,0.80,173.24,1,-98,-6,10,14,26,7,13415170,315
8.03,1545110771,69.65,51.449451,7.488420,253.57,12.16,0.78,175.01,1,-98,-6,10,14,26,7,13415170,315
9.03,1545110772,81.81,51.449331,7.488433,253.42,12.59,0.43,176.86,1,-95,-5,10,14,28,7,13415170,315
10.03,1545110773,94.40,51.449218,7.488436,253.88,12.74,0.16,178.66,1,-95,-5,10,14,28,7,13415170,315
11.03,1545110774,107.15,51.449087,7.488436,253.86,13.78,1.03,180.67,1,-101,-7,8,14,25,7,13415170,315
12.03,1545110775,120.93,51.448957,7.488424,253.94,13.72,-0.05,182.70,1,-101,-7,8,14,25,7,13415170,315
13.03,1545110776,134.65,51.448823,7.488399,254.15,13.94,0.22,184.50,1,-102,-11,8,6,27,7,13415170,315
14.03,1545110777,148.58,51.448695,7.488363,254.38,13.53,-0.41,187.53,1,-102,-11,8,6,27,7,13415170,315
15.03,1545110778,162.17,51.448576,7.488318,254.62,13.64,0.11,190.28,1,-105,-9,3,7,22,7,13415170,315
16.03,1545110779,175.76,51.448453,7.488268,254.80,13.88,0.24,191.92,1,-105,-9,3,7,22,7,13415170,315
17.03,1545110780,189.65,51.448339,7.488217,255.06,13.57,-0.30,192.65,1,-108,-9,1,6,20,7,13415170,315
18.03,1545110781,203.22,51.448212,7.488164,254.90,14.00,0.43,193.40,1,-108,-9,1,6,20,7,13415170,315
19.03,1545110782,217.22,51.448092,7.488104,254.99,13.56,-0.44,194.28,1,-111,-11,-1,8,19,7,13415170,315
20.03,1545110783,230.78,51.447969,7.488051,255.43,13.55,-0.01,193.83,1,-111,-11,-1,8,19,7,13415170,315
21.03,1545110784,244.41,51.447857,7.487994,256.16,13.38,-0.17,193.83,1,-111,-12,-2,7,19,7,13415170,315
22.03,1545110785,257.73,51.447732,7.487943,256.46,13.37,-0.02,193.77,1,-111,-12,-2,7,19,7,13415170,315
23.03,1545110786,271.09,51.447611,7.487910,257.20,13.15,-0.22,191.40,1,-111,-12,-2,7,19,7,13415170,315
24.03,1545110787,284.25,51.447501,7.487886,258.20,13.23,0.08,189.05,1,-112,-16,-5,5,24,32,13246977,156
25.03,1545110788,297.48,51.447401,7.487878,259.41,13.38,0.15,186.03,1,-112,-16,-5,5,24,32,13246977,156
26.03,1545110789,310.84,51.447292,7.487874,260.35,13.69,0.32,182.66,1,-113,-16,-4,5,22,22,13415426,265
27.03,1545110790,324.53,51.447169,7.487887,260.61,13.53,-0.16,179.57,1,-113,-16,-4,5,22,22,13415426,265
28.03,1545110791,338.10,51.447044,7.487911,260.75,13.81,0.28,176.05,1,-112,-16,-4,4,23,22,13415426,265
29.03,1545110792,351.89,51.446916,7.487942,261.13,14.07,0.27,172.66,1,-112,-16,-4,4,23,22,13415426,265
30.03,1545110793,365.99,51.446784,7.487987,261.32,14.14,0.07,169.86,1,-113,-16,-4,3,23,22,13415426,265
31.03,1545110794,380.12,51.446673,7.488044,261.23,14.16,0.02,166.93,1,-113,-16,-4,3,23,22,13415426,265
32.03,1545110795,394.28,51.446539,7.488119,261.17,14.43,0.27,163.61,1,-113,-17,-5,4,22,12,13415170,265
33.03,1545110796,408.66,51.446411,7.488206,261.53,14.72,0.28,160.01,1,-113,-17,-5,4,22,12,13415170,265
34.03,1545110797,423.36,51.446288,7.488308,262.06,14.91,0.20,156.59,1,-104,-11,2,12,25,12,13415170,315
35.03,1545110798,438.27,51.446180,7.488424,262.70,14.98,0.06,153.23,1,-104,-11,2,12,25,12,13415170,315
36.03,1545110799,453.26,51.446069,7.488557,263.42,15.13,0.15,150.07,1,-102,-10,6,10,27,12,13415170,315
37.03,1545110800,468.38,51.445951,7.488709,263.69,14.96,-0.17,146.58,1,-102,-10,6,10,27,12,13415170,315
38.03,1545110801,483.32,51.445842,7.488860,264.04,14.63,-0.32,143.03,1,-103,-6,7,7,24,12,13415170,315
39.03,1545110802,497.95,51.445750,7.489019,264.78,14.69,0.06,139.61,1,-103,-6,7,7,24,12,13415170,315
40.03,1545110803,512.64,51.445647,7.489206,265.39,15.08,0.38,136.46,1,-101,-6,11,7,24,12,13415170,315
41.02,1545110804,527.70,51.445554,7.489392,265.91,15.19,0.11,133.68,1,-101,-6,11,7,24,12,13415170,315
42.03,1545110805,543.04,51.445458,7.489590,266.46,15.30,0.12,131.74,1,-104,-14,10,7,29,12,13415170,315
43.03,1545110806,558.22,51.445374,7.489772,267.24,14.77,-0.53,129.98,1,-104,-14,10,7,29,12,13415170,315
44.03,1545110807,572.98,51.445294,7.489948,268.07,14.67,-0.10,129.04,1,-104,-14,10,7,29,12,13415170,315
45.03,1545110808,587.65,51.445216,7.490124,268.68,14.78,0.11,128.25,1,-105,-12,5,5,25,12,13415170,315
46.03,1545110809,602.45,51.445143,7.490304,268.97,14.76,-0.02,127.83,1,-105,-12,5,5,25,12,13415170,315
47.03,1545110810,617.20,51.445074,7.490474,269.63,14.65,-0.11,127.50,1,-107,-10,1,6,21,12,13415170,315
48.03,1545110811,631.85,51.445005,7.490641,270.48,14.77,0.12,127.27,1,-107,-10,1,6,21,12,13415170,315
49.03,1545110812,646.62,51.444934,7.490816,270.84,14.58,-0.18,126.53,1,-106,-8,-1,8,22,12,13415170,315
50.03,1545110813,661.22,51.444871,7.490970,271.47,14.03,-0.55,126.20,1,-106,-8,-1,8,22,12,13415170,315
51.03,1545110814,675.25,51.444807,7.491127,271.72,12.38,-1.66,126.92,1,-105,-7,0,6,23,24,13417219,440
52.03,1545110815,687.63,51.444749,7.491272,271.89,10.13,-2.24,127.52,1,-105,-7,0,6,23,24,13417219,440
