time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
14.01,1545197194,170.25,51.448426,7.488243,249.96,14.45,0.00,192.14,0,-109,-12,0,0,23,0,0,156
14.01,1545197194,170.25,51.448426,7.488243,249.96,14.45,0.00,192.14,0,-113,-19,0,0,26,0,0,210
14.01,1545197194,170.27,51.448426,7.488243,249.96,14.45,0.00,192.14,0,-113,-17,0,0,26,0,0,265
15.01,1545197195,184.70,51.448295,7.488189,249.61,14.12,0.00,192.69,0,-109,-12,0,0,23,0,0,156
15.01,1545197195,184.72,51.448295,7.488189,249.61,14.12,0.00,192.69,0,-113,-19,0,0,26,0,0,210
15.01,1545197195,184.73,51.448295,7.488189,249.61,14.12,0.00,192.69,0,-113,-17,0,0,26,0,0,265
16.02,1545197196,198.94,51.448166,7.488134,249.13,14.31,0.00,193.08,0,-111,-16,0,0,26,0,0,265
16.02,1545197196,198.95,51.448166,7.488134,249.13,14.31,0.00,193.08,0,-111,-16,0,0,27,0,0,156
16.02,1545197196,198.96,51.448166,7.488134,249.13,14.31,0.00,193.08,0,-112,-18,0,0,26,0,0,26
17.01,1545197197,213.12,51.448041,7.488072,249.00,14.13,0.00,193.46,0,-111,-16,0,0,26,0,0,265
17.01,1545197197,213.13,51.448041,7.488072,249.00,14.13,0.00,193.46,0,-111,-16,0,0,27,0,0,156
17.01,1545197197,213.15,51.448041,7.488072,249.00,14.13,0.00,193.46,0,-112,-18,0,0,26,0,0,26
18.01,1545197198,227.25,51.447912,7.488012,248.84,14.54,0.00,193.01,0,-111,-16,0,0,26,0,0,265
18.01,1545197198,227.27,51.447912,7.488012,248.84,14.54,0.00,193.01,0,-111,-16,0,0,27,0,0,156
18.01,1545197198,227.27,51.447912,7.488012,248.84,14.54,0.00,193.01,0,-112,-18,0,0,26,0,0,26
19.01,1545197199,241.79,51.447782,7.487963,248.59,13.91,0.00,190.64,0,-109,-16,0,0,26,0,0,156
19.01,1545197199,241.80,51.447782,7.487963,248.59,13.91,0.00,190.64,0,-111,-15,0,0,25,0,0,265
19.01,1545197199,241.82,51.447782,7.487963,248.59,13.91,0.00,190.64,0,-114,-18,0,0,26,0,0,26
20.01,1545197200,255.71,51.447657,7.487925,249.21,13.85,0.00,188.88,0,-109,-16,0,0,26,0,0,156
20.01,1545197200,255.72,51.447657,7.487925,249.21,13.85,0.00,188.88,0,-111,-15,0,0,25,0,0,265
20.01,1545197200,255.74,51.447657,7.487925,249.21,13.85,0.00,188.88,0,-114,-18,0,0,26,0,0,26
21.01,1545197201,269.58,51.447536,7.487897,250.36,12.68,0.00,186.88,0,-108,-14,0,0,26,0,0,265
21.01,1545197201,269.59,51.447536,7.487897,250.36,12.68,0.00,186.88,0,-111,-17,0,0,27,0,0,156
21.01,1545197201,269.60,51.447536,7.487897,250.36,12.68,0.00,186.88,0,-111,-18,0,0,27,0,0,26
22.01,1545197202,282.25,51.447399,7.487870,251.73,13.83,0.00,186.09,0,-108,-14,0,0,26,0,0,265
22.01,1545197202,282.26,51.447399,7.487870,251.73,13.83,0.00,186.09,0,-111,-17,0,0,27,0,0,156
22.01,1545197202,282.28,51.447399,7.487870,251.73,13.83,0.00,186.09,0,-111,-18,0,0,27,0,0,26
23.01,1545197203,296.10,51.447270,7.487864,253.07,13.66,0.00,183.55,0,-110,-15,0,0,25,0,0,265
23.01,1545197203,296.12,51.447270,7.487864,253.07,13.66,0.00,183.55,0,-111,-16,0,0,24,0,0,156
23.01,1545197203,296.12,51.447270,7.487864,253.07,13.66,0.00,183.55,0,-116,-20,0,0,24,0,0,26
24.01,1545197204,309.72,51.447141,7.487870,254.65,13.82,0.00,180.41,0,-110,-15,0,0,25,0,0,265
24.01,1545197204,309.73,51.447141,7.487870,254.65,13.82,0.00,180.41,0,-111,-16,0,0,24,0,0,156
24.01,1545197204,309.75,51.447141,7.487870,254.65,13.82,0.00,180.41,0,-116,-20,0,0,24,0,0,26
25.00,1545197205,323.47,51.447010,7.487893,256.11,14.54,0.00,177.55,0,-112,-16,0,0,25,0,0,265
25.00,1545197205,323.47,51.447010,7.487893,256.11,14.54,0.00,177.55,0,-113,-18,0,0,25,0,0,156
26.01,1545197206,338.02,51.446875,7.487939,257.30,14.68,0.00,173.56,0,-112,-16,0,0,25,0,0,265
26.01,1545197206,338.04,51.446875,7.487939,257.30,14.68,0.00,173.56,0,-113,-18,0,0,25,0,0,156
27.01,1545197207,352.76,51.446738,7.487999,258.27,14.74,0.00,170.00,0,-112,-16,0,0,24,0,0,265
27.01,1545197207,352.78,51.446738,7.487999,258.27,14.74,0.00,170.00,0,-114,-17,0,0,25,0,0,156
28.01,1545197208,367.51,51.446611,7.488074,259.12,14.64,0.00,166.55,0,-112,-16,0,0,24,0,0,265
28.01,1545197208,367.53,51.446611,7.488074,259.12,14.64,0.00,166.55,0,-114,-17,0,0,25,0,0,156
29.01,1545197209,382.08,51.446825,7.488667,259.81,14.82,0.00,163.11,0,-113,-19,0,0,26,0,0,265
