time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
11.75,1545197192,126.54,51.448816,7.488399,250.63,14.85,1.08,185.62,1,-98,-7,10,12,28,7,13415170,315,0,1.00,2.37,57.00,20.28,890
20.67,1545197201,255.70,51.447657,7.487925,249.21,13.85,-0.05,188.88,1,-110,-13,2,7,23,7,13415170,315,1,6.00,4.36,69.00,20.62,890
31.09,1545197212,411.78,51.446231,7.488363,260.71,14.99,0.12,155.66,1,-104,-10,4,9,26,7,13415170,315,2,5.00,6.13,463.00,20.31,890
42.82,1545197223,580.32,51.445185,7.490206,266.67,15.85,-0.07,128.31,1,-105,-9,19,6,23,7,13415170,315,3,10.00,2.27,72.00,21.17,890
51.65,1545197232,695.26,51.444627,7.491493,269.08,5.04,-2.07,126.68,1,-113,-13,-3,6,24,24,13417219,440,4,2.00,0.86,775.00,20.98,890
62.60,1545197242,704.63,51.444592,7.491579,269.43,0.00,0.00,126.47,1,-110,-10,-1,5,18,24,13417219,440,5,8.00,2.06,2904.00,21.31,890
73.79,1545197254,704.63,51.444592,7.491579,269.57,0.00,0.00,126.47,1,-111,-11,0,7,19,24,13417219,440,6,0.50,0.48,2747.00,21.98,890
82.19,1545197263,704.63,51.444588,7.491598,269.69,0.00,0.00,125.82,1,-111,-12,-2,5,20,24,13417219,440,7,3.00,1.72,1656.00,21.44,890
92.91,1545197273,761.99,51.444009,7.491226,272.28,12.55,1.01,215.42,1,-107,-14,1,5,26,24,13417219,440,8,2.00,1.60,1273.00,19.89,890
101.63,1545197282,891.83,51.443039,7.490100,276.07,15.53,-0.11,216.35,1,-110,-15,0,8,24,24,13417219,440,9,0.10,0.48,1221.00,19.27,890
110.23,1545197290,1030.01,51.442057,7.488912,278.31,15.04,0.20,218.27,1,-99,-8,8,9,29,24,13417219,440,10,1.00,7.37,53.00,20.28,890
120.31,1545197301,1167.71,51.441202,7.487354,282.68,14.96,0.46,232.72,1,-95,-6,5,8,34,24,13417219,440,11,1.00,9.50,48.00,19.81,890
130.29,1545197311,1319.19,51.440395,7.485591,283.65,15.01,-0.60,232.94,1,-95,-9,11,6,33,24,13417219,440,12,1.00,10.15,75.00,20.42,890
140.24,1545197320,1473.19,51.439568,7.483794,284.27,15.79,-0.10,234.44,1,-97,-9,7,10,31,24,13417219,440,13,1.00,5.90,67.00,20.28,890
150.32,1545197331,1629.90,51.438821,7.481731,288.14,16.28,0.03,240.72,1,-95,-7,14,9,31,24,13417219,440,14,0.50,5.98,55.00,20.22,890
160.23,1545197341,1796.78,51.438091,7.479598,285.82,16.14,-0.06,242.28,1,-96,-7,7,7,31,24,13417219,440,15,0.50,7.95,67.00,19.95,890
170.26,1545197350,1949.88,51.437414,7.477577,290.75,15.04,-0.35,242.08,1,-84,-7,13,15,42,19,13523715,6,16,10.00,15.93,61.00,12.28,890
180.24,1545197361,2066.32,51.437403,7.476130,290.74,8.26,0.53,359.58,1,-94,-7,25,8,33,19,13523715,6,17,3.00,13.04,57.00,16.33,890
190.48,1545197371,2186.58,51.438177,7.477526,288.41,16.87,0.41,54.64,1,-95,-6,15,12,32,19,13523715,6,18,10.00,5.07,52.00,17.42,890
202.04,1545197382,2417.70,51.439315,7.480340,286.74,20.36,-0.30,55.47,1,-108,-15,-2,5,27,22,13417219,6,19,2.00,2.06,736.00,20.38,890
210.65,1545197391,2593.73,51.440368,7.482352,284.42,23.63,0.39,42.33,1,-105,-13,0,6,28,22,13417219,440,20,6.00,3.90,61.00,20.55,890
222.84,1545197404,2877.69,51.442452,7.484658,277.66,23.23,-0.34,26.07,1,-110,-18,-5,3,27,22,13415426,265,21,7.00,5.74,150.00,21.22,890
231.60,1545197412,3073.05,51.444022,7.485761,273.03,17.09,-1.06,21.22,1,-108,-13,-5,5,24,20,13415170,315,22,3.00,1.39,779.00,20.77,890
245.69,1545197426,3267.14,51.444268,7.487546,267.52,12.73,0.09,173.50,1,-113,-18,-11,3,21,25,13417219,440,23,6.00,0.55,1090.00,21.38,890
255.36,1545197435,3410.83,51.443727,7.485922,264.15,17.74,0.89,266.88,1,-116,-20,-15,1,24,25,13417219,440,24,3.00,0.26,2160.00,21.06,890
263.26,1545197444,3568.34,51.443704,7.483641,264.39,20.91,0.15,268.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,25,6.00,0.62,63.00,20.38,890
273.49,1545197454,3779.48,51.443613,7.480608,262.33,22.95,0.62,264.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,26,1.00,0.67,881.00,19.92,890
360.29,1545197541,6113.96,51.442134,7.447263,229.37,31.00,0.17,281.21,1,-119,-22,-15,0,22,23,13415426,-1,35,10.00,5.40,52.00,21.59,890
371.24,1545197551,6459.42,51.442868,7.442440,224.33,31.73,-0.13,286.15,1,-106,-11,3,8,24,18,13415427,264,36,9.00,3.99,368.00,20.28,890
381.84,1545197562,6766.59,51.443720,7.438266,219.92,30.53,0.07,290.56,1,-104,-10,5,6,24,26,13246978,157,37,0.10,0.43,475.00,20.39,890
390.88,1545197571,7041.95,51.444672,7.434609,211.15,30.22,-0.15,294.95,1,-103,-13,-1,7,31,27,13415427,264,38,9.00,6.33,2834.00,20.92,890
401.47,1545197582,7368.01,51.446150,7.430636,195.52,28.43,-0.28,306.42,1,-105,-10,2,9,25,34,13395457,111,39,6.00,8.47,680.00,20.94,890
410.35,1545197590,7614.54,51.447636,7.428099,186.29,26.81,0.07,317.05,1,-92,-7,13,10,34,34,13395457,111,40,1.00,6.74,51.00,17.80,890
440.28,1545197621,8527.39,51.455035,7.422621,159.73,34.57,-0.15,343.32,1,-97,-11,-5,7,34,34,13395457,111,43,10.00,14.19,59.00,18.94,890
450.23,1545197630,8870.00,51.457897,7.420897,154.19,34.69,0.10,334.12,1,-90,-7,8,8,36,15,13523459,175,44,6.00,12.03,54.00,16.52,890
460.21,1545197641,9213.90,51.460564,7.418387,150.83,34.45,-0.13,324.88,1,-89,-8,10,8,40,13,13395457,111,45,0.50,8.46,58.00,15.41,890
480.39,1545197660,9886.66,51.464846,7.411654,151.80,33.52,-0.02,308.23,1,-94,-6,11,15,29,5,13395469,221,47,9.00,4.47,52.00,17.14,2510
492.78,1545197673,10280.55,51.467027,7.407221,154.22,32.46,-0.42,309.30,1,-111,-10,1,6,17,21,13532174,336,48,4.00,7.25,190.00,20.88,2510
500.26,1545197681,10536.64,51.468512,7.404431,157.50,29.22,-1.25,312.03,1,-80,-6,12,15,46,7,13395458,112,49,6.00,4.50,63.00,8.34,890
510.58,1545197691,10828.14,51.470360,7.401400,160.67,29.21,-0.53,316.56,1,-97,-15,-12,3,38,7,13395458,112,50,4.00,9.52,65.00,19.50,890
530.22,1545197711,11359.27,51.473955,7.396396,166.61,25.32,0.21,322.04,1,-81,-5,26,15,44,16,13022465,205,52,3.00,15.73,72.00,2.80,890
550.26,1545197731,11844.36,51.477726,7.393092,175.35,19.36,-1.28,352.56,1,-71,-5,18,11,56,16,13022465,205,54,8.00,16.25,49.00,-4.08,890
560.25,1545197740,12026.45,51.479221,7.393867,181.39,13.65,-0.77,8.27,1,-78,-5,13,11,45,16,13022465,205,55,10.00,15.94,56.00,0.23,890
570.25,1545197751,12154.01,51.480276,7.393536,182.70,9.87,0.30,27.05,1,-92,-9,10,12,36,16,13022465,205,56,8.00,13.54,50.00,16.64,890
580.27,1545197761,12301.20,51.481015,7.395397,184.46,17.87,-0.42,58.99,1,-87,-9,5,10,41,12,13532162,198,57,10.00,13.76,83.00,15.89,890
590.26,1545197771,12461.57,51.481745,7.397360,185.84,13.64,-0.52,56.66,1,-102,-11,0,7,30,9,13022465,205,58,5.00,10.66,49.00,21.28,890
