time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.01,1545283541,0.04,51.450027,7.488249,252.05,8.73,0.00,171.24,0,-97,-9,0,0,44,0,0,67
0.01,1545283541,0.04,51.450027,7.488249,252.05,8.73,0.00,171.24,0,-96,-8,0,0,41,0,0,157
1.01,1545283542,8.74,51.449958,7.488277,252.33,9.32,0.00,169.98,0,-97,-8,0,0,43,0,0,67
1.01,1545283542,8.74,51.449958,7.488277,252.33,9.32,0.00,169.98,0,-96,-8,0,0,41,0,0,157
2.01,1545283543,18.05,51.449869,7.488305,252.75,10.06,0.00,170.34,0,-97,-8,0,0,43,0,0,67
2.01,1545283543,18.06,51.449869,7.488305,252.75,10.06,0.00,170.34,0,-96,-8,0,0,41,0,0,157
3.01,1545283544,28.12,51.449778,7.488337,253.02,10.52,0.00,170.69,0,-96,-9,0,0,45,0,0,67
3.01,1545283544,28.13,51.449778,7.488337,253.02,10.52,0.00,170.69,0,-96,-8,0,0,41,0,0,157
4.01,1545283545,38.65,51.449685,7.488364,253.38,10.96,0.00,171.49,0,-96,-9,0,0,45,0,0,67
4.01,1545283545,38.65,51.449685,7.488364,253.38,10.96,0.00,171.49,0,-96,-8,0,0,41,0,0,157
5.01,1545283546,49.61,51.449585,7.488385,253.79,11.50,0.00,172.92,0,-99,-9,0,0,42,0,0,67
5.01,1545283546,49.62,51.449585,7.488385,253.79,11.50,0.00,172.92,0,-98,-8,0,0,39,0,0,157
6.01,1545283547,61.11,51.449486,7.488405,253.85,11.97,0.00,174.43,0,-99,-9,0,0,42,0,0,67
6.01,1545283547,61.11,51.449486,7.488405,253.85,11.97,0.00,174.43,0,-98,-8,0,0,39,0,0,157
7.01,1545283548,73.08,51.449382,7.488417,253.57,11.90,0.00,176.10,0,-101,-11,0,0,41,0,0,67
7.01,1545283548,73.09,51.449382,7.488417,253.57,11.90,0.00,176.10,0,-99,-9,0,0,39,0,0,157
8.01,1545283549,84.98,51.449274,7.488422,253.64,11.95,0.00,177.80,0,-101,-11,0,0,41,0,0,67
8.01,1545283549,84.99,51.449274,7.488422,253.64,11.95,0.00,177.80,0,-99,-9,0,0,39,0,0,157
9.01,1545283550,96.93,51.449152,7.488421,253.68,11.73,0.00,179.68,0,-100,-11,0,0,42,0,0,67
9.01,1545283550,96.93,51.449152,7.488421,253.68,11.73,0.00,179.68,0,-99,-10,0,0,39,0,0,157
10.14,1545283551,110.19,51.449035,7.488418,253.89,12.35,0.00,181.44,0,-100,-11,0,0,42,0,0,67
10.14,1545283551,110.19,51.449035,7.488418,253.89,12.35,0.00,181.44,0,-99,-10,0,0,39,0,0,157
11.11,1545283552,122.18,51.448922,7.488402,254.34,12.88,0.00,183.37,0,-104,-10,0,0,38,0,0,67
11.11,1545283552,122.19,51.448922,7.488402,254.34,12.88,0.00,183.37,0,-109,-12,0,0,36,0,0,271
11.11,1545283552,122.21,51.448922,7.488402,254.34,12.88,0.00,183.37,0,-109,-13,0,0,36,0,0,280
11.11,1545283552,122.22,51.448922,7.488402,254.34,12.88,0.00,183.37,0,-102,-10,0,0,36,0,0,157
12.11,1545283553,135.08,51.448802,7.488375,254.67,13.21,0.00,186.29,0,-104,-10,0,0,38,0,0,67
12.11,1545283553,135.09,51.448802,7.488375,254.67,13.21,0.00,186.29,0,-109,-12,0,0,36,0,0,271
12.11,1545283553,135.10,51.448802,7.488375,254.67,13.21,0.00,186.29,0,-109,-13,0,0,36,0,0,280
12.11,1545283553,135.12,51.448802,7.488375,254.67,13.21,0.00,186.29,0,-102,-10,0,0,36,0,0,157
13.10,1545283554,148.22,51.448684,7.488336,255.51,13.62,0.00,188.71,0,-106,-12,0,0,37,0,0,67
13.10,1545283554,148.22,51.448684,7.488336,255.51,13.62,0.00,188.71,0,-107,-11,0,0,36,0,0,271
