time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.07,1547529874,0.00,51.450133,7.488239,252.27,7.65,0.00,170.18,1,-99,-11,13,9,42,6,28371201,66
1.08,1547529875,7.69,51.450058,7.488266,252.57,8.82,1.16,169.47,1,-99,-11,13,9,42,6,28371201,66
2.08,1547529876,16.50,51.449980,7.488302,252.44,9.52,0.71,169.91,1,-98,-10,12,12,42,6,28371201,66
3.08,1547529877,26.03,51.449894,7.488334,252.48,10.23,0.71,169.86,1,-98,-10,12,12,42,6,28371201,66
4.08,1547529878,36.26,51.449800,7.488365,252.26,10.87,0.64,170.56,1,-100,-10,10,8,40,6,28371201,66
5.08,1547529879,47.13,51.449700,7.488393,252.12,11.50,0.63,172.14,1,-100,-10,10,8,40,6,28371201,66
6.08,1547529880,58.63,51.449594,7.488414,251.90,12.24,0.74,173.45,1,-100,-9,8,11,39,6,28371201,66
7.08,1547529881,70.87,51.449480,7.488432,251.49,12.70,0.46,175.15,1,-100,-9,8,11,39,6,28371201,66
8.09,1547529882,83.66,51.449365,7.488441,251.34,13.07,0.36,176.69,1,-101,-9,5,10,38,6,28371201,66
9.08,1547529883,96.64,51.449238,7.488441,251.55,13.51,0.44,178.38,1,-101,-9,5,10,38,6,28371201,66
10.08,1547529884,110.13,51.449119,7.488432,251.72,13.07,-0.44,180.53,1,-101,-9,5,10,38,6,28371201,66
11.08,1547529885,123.24,51.449004,7.488414,251.76,13.05,-0.02,183.31,1,-101,-10,6,6,38,6,28371201,66
12.08,1547529886,136.25,51.448896,7.488387,252.15,13.43,0.38,185.87,1,-101,-10,6,6,38,6,28371201,66
13.08,1547529887,149.71,51.448783,7.488348,252.48,13.73,0.30,188.42,1,-102,-10,3,9,36,6,28371201,66
14.08,1547529888,163.45,51.448664,7.488302,252.96,13.07,-0.66,190.35,1,-102,-10,3,9,36,6,28371201,66
15.08,1547529889,176.53,51.448537,7.488248,253.35,13.36,0.28,191.76,1,-109,-10,4,7,30,6,28371201,66
16.08,1547529890,189.88,51.448414,7.488197,253.29,13.44,0.09,192.76,1,-109,-10,4,7,30,6,28371201,66
17.08,1547529891,203.33,51.448283,7.488142,253.17,13.84,0.40,193.75,1,-109,-10,0,8,32,6,28371201,66
18.08,1547529892,217.17,51.448160,7.488092,253.25,13.78,-0.07,193.96,1,-109,-10,0,8,32,6,28371201,66
19.08,1547529893,230.92,51.448046,7.488044,254.03,13.92,0.15,193.42,1,-105,-9,-3,6,35,9,27771909,271
20.08,1547529894,244.86,51.447924,7.488000,254.12,14.07,0.14,192.64,1,-105,-9,-3,6,35,9,27771909,271
21.08,1547529895,258.90,51.447802,7.487950,254.57,13.98,-0.09,192.09,1,-105,-10,4,8,36,9,27771909,271
