time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
9.80,1547529884,96.64,51.449238,7.488441,251.55,13.51,0.44,178.38,1,-101,-9,5,10,38,6,28371201,66,0,0.50,3.22,68.00,1815
19.77,1547529894,230.92,51.448046,7.488044,254.03,13.92,0.15,193.42,1,-105,-9,-3,6,35,9,27771909,271,1,9.00,11.79,37.00,1815
29.78,1547529904,368.76,51.446808,7.488028,258.69,13.50,-0.29,168.33,1,-105,-9,3,7,34,9,27771909,271,2,4.00,6.72,38.00,1815
39.78,1547529914,505.98,51.445739,7.489066,264.15,14.46,0.12,139.20,1,-102,-9,2,6,35,9,27771909,271,3,4.00,2.22,37.00,1815
53.44,1547529928,701.23,51.444725,7.491334,271.49,8.84,-1.39,127.24,1,-110,-11,0,6,28,13,28371201,66,4,0.50,1.19,444.00,1815
61.32,1547529935,728.60,51.444615,7.491623,272.99,0.00,-1.02,125.94,1,-108,-10,-3,5,36,6,27771907,272,5,10.00,9.46,543.00,1815
70.01,1547529944,728.60,51.444615,7.491623,272.90,0.00,0.00,125.94,1,-107,-11,2,6,35,6,27771907,272,6,4.00,9.28,186.00,1815
79.76,1547529954,728.60,51.444487,7.491736,272.82,5.93,0.00,173.86,1,-106,-8,6,9,32,6,27771907,272,7,2.00,9.55,73.00,1815
89.77,1547529964,830.73,51.443634,7.490835,275.76,14.03,0.35,216.42,1,-74,-5,29,15,63,6,27771907,272,8,9.00,24.90,36.00,1815
99.76,1547529974,977.12,51.442602,7.489611,276.53,15.07,0.19,215.52,1,-75,-5,24,15,60,6,27771907,272,9,1.00,12.18,37.00,1815
109.78,1547529984,1126.75,51.441565,7.488179,279.10,15.12,0.36,226.09,1,-64,-4,28,14,63,6,27771907,272,10,1.00,10.43,39.00,1815
119.85,1547529994,1276.78,51.440744,7.486457,282.23,14.45,-0.28,232.85,1,-87,-9,19,12,52,6,27771907,272,11,3.00,15.09,48.00,1815
129.80,1547530004,1420.33,51.439960,7.484767,282.45,14.13,-0.38,230.99,1,-75,-6,19,10,62,1,27771908,270,12,4.00,11.23,109.00,1815
139.77,1547530014,1564.88,51.439206,7.483010,284.08,15.18,0.11,237.27,1,-77,-5,28,15,59,1,27771908,270,13,2.00,17.92,40.00,1815
149.83,1547530024,1716.00,51.438546,7.481022,286.24,15.29,0.05,240.52,1,-95,-5,20,13,39,1,27771908,270,14,3.00,4.66,39.00,1815
159.79,1547530034,1870.54,51.437890,7.479065,288.38,15.00,0.07,242.00,1,-105,-8,10,12,32,1,27771908,270,15,7.00,12.62,47.00,1815
169.81,1547530044,2014.93,51.437271,7.477214,288.15,14.43,0.13,241.69,1,-109,-9,8,8,30,1,27771908,270,16,10.00,8.55,36.00,1815
179.86,1547530054,2126.75,51.437564,7.476284,290.29,10.23,0.62,46.59,1,-94,-7,12,12,43,1,27771908,270,17,0.50,6.49,40.00,1815
189.76,1547530064,2284.44,51.438483,7.478211,286.82,21.11,0.38,55.88,1,-78,-4,32,14,57,1,27771908,270,18,3.00,14.90,36.00,1815
199.77,1547530074,2521.76,51.439686,7.481093,282.73,24.04,0.01,55.12,1,-89,-8,25,15,50,1,27771908,270,19,6.00,22.96,37.00,1815
209.77,1547530084,2749.29,51.441118,7.483336,277.61,22.43,0.22,38.06,1,-84,-6,19,15,53,1,27771908,270,20,9.00,17.50,37.00,1815
219.82,1547530094,2981.57,51.442933,7.484981,273.65,21.81,-0.53,23.40,1,-82,-6,27,15,55,1,27771909,271,21,0.10,5.44,48.00,1815
229.79,1547530104,3183.14,51.444548,7.486116,271.82,14.80,-1.23,37.53,1,-72,-5,32,15,63,1,27771909,271,22,2.00,13.75,37.00,1815
239.77,1547530114,3324.02,51.444176,7.487528,264.03,14.42,0.02,183.37,1,-70,-5,29,15,63,1,27771909,271,23,6.00,29.18,36.00,1815
249.78,1547530124,3485.94,51.443731,7.485447,260.65,20.41,1.06,268.20,1,-81,-5,21,15,54,1,27771909,271,24,10.00,33.68,47.00,1815
259.82,1547530134,3712.49,51.443679,7.482133,263.48,23.48,0.22,266.81,1,-81,-5,26,15,55,1,27771909,271,25,6.00,17.67,37.00,1815
269.76,1547530143,3954.19,51.443459,7.478653,264.29,25.08,0.20,262.07,1,-88,-5,11,13,47,1,27771909,271,26,2.00,16.18,37.00,1815
279.76,1547530154,4219.01,51.443103,7.474919,258.15,27.21,0.47,257.33,1,-100,-7,10,11,38,1,27771909,271,27,2.00,6.92,35.00,1815
289.79,1547530164,4522.85,51.442541,7.470593,249.11,33.85,0.32,257.95,1,-112,-9,14,10,27,10,30422273,155,28,5.00,5.52,39.00,1815
299.82,1547530174,4870.81,51.441930,7.465711,240.92,35.24,0.26,260.57,1,-100,-6,11,9,36,27,31281409,195,29,3.00,13.58,44.00,1815
309.80,1547530184,5229.85,51.441584,7.460576,234.58,35.60,-0.09,266.38,1,-101,-6,10,9,34,27,31281409,195,30,0.50,4.50,37.00,1815
319.79,1547530194,5584.23,51.441546,7.455485,230.50,35.41,-0.14,271.30,1,-98,-6,3,11,36,16,33527552,270,31,5.00,16.06,39.00,1815
329.81,1547530204,5941.39,51.441824,7.450351,227.84,36.73,0.28,277.48,1,-83,-5,26,15,51,16,33527552,376,32,10.00,31.50,39.00,1815
339.81,1547530214,6312.31,51.442439,7.445124,224.84,36.45,-0.34,283.05,1,-75,-5,31,15,62,16,33527552,376,33,4.00,18.42,37.00,1815
349.78,1547530224,6667.37,51.443282,7.440196,222.12,34.77,0.20,287.27,1,-81,-5,12,15,55,16,33527552,376,34,1.00,7.55,39.00,1815
359.80,1547530234,7020.87,51.444430,7.435448,214.21,35.45,0.37,293.18,1,-87,-6,12,14,50,1,33527554,375,35,10.00,24.71,38.00,1815
369.80,1547530244,7388.11,51.446067,7.430836,207.47,39.25,0.09,306.25,1,-80,-6,21,12,56,1,33527554,375,36,4.00,17.20,37.00,1815
379.77,1547530254,7782.61,51.448541,7.426846,190.79,38.82,-0.16,322.13,1,-87,-7,7,10,45,1,33527554,375,37,5.00,19.59,61.00,1815
389.79,1547530264,8164.85,51.451564,7.424237,175.32,37.10,-0.30,337.97,1,-98,-9,2,3,40,49,27771140,49,38,5.00,6.89,38.00,1815
399.79,1547530274,8508.47,51.454468,7.422794,163.71,31.77,-0.36,343.69,1,-101,-13,-3,3,42,47,27771140,49,39,0.50,6.66,38.00,1815
409.77,1547530284,8826.97,51.457169,7.421335,157.80,31.76,0.10,336.60,1,-92,-10,-2,6,44,13,27770883,35,40,8.00,14.39,36.00,1815
419.75,1547530294,9158.11,51.459827,7.419117,154.87,35.05,0.34,327.40,1,-83,-9,5,11,51,10,27770883,35,41,0.50,11.36,37.00,1815
429.76,1547530304,9516.43,51.462383,7.415982,152.21,35.46,-0.11,317.04,1,-79,-6,2,6,55,6,27770883,35,42,8.00,28.43,39.00,1815
439.76,1547530314,9872.60,51.464552,7.412218,153.37,36.55,0.54,308.84,1,-73,-7,17,12,52,6,27770883,35,43,0.50,5.46,37.00,1815
449.79,1547530323,10237.64,51.466582,7.408097,153.64,34.52,-0.23,308.74,1,-95,-10,20,5,47,4,27770885,33,44,5.00,20.04,42.00,1815
459.85,1547530334,10581.99,51.468588,7.404324,157.78,32.07,-0.59,312.76,1,-84,-7,16,15,55,4,27770885,33,45,10.00,14.23,45.00,1815
469.75,1547530344,10910.79,51.470630,7.400889,163.40,34.13,0.11,316.29,1,-82,-5,24,9,55,18,27771140,49,46,0.50,7.26,37.00,1815
479.79,1547530354,11233.35,51.472781,7.397816,169.25,28.36,-0.77,320.82,1,-84,-5,32,9,51,18,27771140,49,47,9.00,21.92,45.00,1815
489.76,1547530363,11497.46,51.474622,7.395516,172.18,23.70,-0.19,324.26,1,-84,-6,17,12,53,18,27771140,49,48,4.00,15.79,38.00,1815
499.77,1547530374,11722.92,51.476349,7.393857,176.29,21.41,-0.02,332.54,1,-81,-6,36,15,57,18,27771140,49,49,5.00,10.89,102.00,1815
509.78,1547530384,11932.89,51.478160,7.393071,179.30,20.28,0.54,10.05,1,-73,-5,12,6,58,4,27771139,48,50,5.00,21.36,35.00,1815
519.75,1547530394,12111.77,51.479616,7.393690,183.22,15.68,0.17,335.96,1,-94,-8,16,14,44,4,27771139,48,51,4.00,14.15,35.00,1815
529.80,1547530404,12239.18,51.480534,7.394114,185.18,16.13,1.32,55.96,1,-87,-8,2,11,54,4,27771139,48,52,5.00,17.03,38.00,1815
539.81,1547530414,12406.79,51.481293,7.396202,184.38,16.88,-0.39,59.59,1,-86,-7,4,13,48,6,27771139,48,53,4.00,12.85,42.00,1815
549.76,1547530424,12554.51,51.481995,7.397935,184.95,10.22,-1.33,52.56,1,-82,-6,21,14,52,6,27771139,48,54,3.00,13.96,36.00,1815
559.81,1547530434,12613.78,51.482353,7.398479,186.68,0.56,-0.46,43.95,1,-83,-6,17,10,52,6,27771139,48,55,0.10,8.33,40.00,1815
569.82,1547530444,12614.35,51.482353,7.398479,186.73,0.00,0.00,43.95,1,-84,-5,22,12,52,6,27771139,48,56,6.00,19.02,41.00,1815
579.81,1547530454,12614.35,51.482353,7.398479,186.73,0.00,0.00,43.95,1,-84,-7,19,11,53,6,27771139,48,57,3.00,15.32,44.00,1815
589.78,1547530464,12663.86,51.482809,7.399027,184.21,9.46,0.06,35.17,1,-87,-7,12,7,50,6,27771139,48,58,9.00,31.14,37.00,1815
599.78,1547530474,12785.12,51.483742,7.400004,181.62,14.20,0.41,34.45,1,-92,-7,9,11,43,6,27771139,48,59,0.50,8.64,36.00,1815
609.77,1547530483,12929.75,51.484747,7.401311,180.92,14.79,0.18,42.15,1,-99,-7,6,11,37,9,28365058,223,60,7.00,14.04,46.00,1815
