time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.06,1547615840,0.00,51.450108,7.488215,240.48,7.52,0.00,168.73,1,-105,-9,2,6,27,13,12918809,429
1.06,1547615841,7.52,51.450047,7.488239,241.45,8.37,0.85,168.11,1,-105,-9,2,6,27,13,12918809,429
2.05,1547615842,15.88,51.449978,7.488271,242.03,9.20,0.83,168.56,1,-105,-9,2,6,27,13,12918809,429
3.06,1547615843,25.10,51.449899,7.488304,242.50,9.84,0.63,169.37,1,-104,-8,8,11,27,13,12918809,429
4.05,1547615844,34.92,51.449812,7.488331,242.98,10.23,0.39,169.75,1,-104,-8,8,11,27,13,12918809,429
5.05,1547615845,45.15,51.449717,7.488358,243.61,10.83,0.60,171.29,1,-105,-8,6,6,27,13,12918809,429
6.06,1547615846,55.99,51.449616,7.488382,244.40,11.64,0.81,172.67,1,-105,-8,6,6,27,13,12918809,429
7.06,1547615847,67.64,51.449508,7.488402,245.13,12.23,0.58,174.25,1,-103,-7,7,7,29,13,12918809,429
8.05,1547615848,79.85,51.449391,7.488418,245.92,12.99,0.77,175.92,1,-103,-7,7,7,29,13,12918809,429
9.05,1547615849,92.82,51.449273,7.488423,246.71,13.35,0.36,177.94,1,-101,-7,10,9,30,13,12918809,429
10.06,1547615850,106.21,51.449148,7.488421,247.45,13.96,0.61,180.00,1,-101,-7,10,9,30,13,12918809,429
11.06,1547615851,120.19,51.449024,7.488412,248.30,14.32,0.35,182.71,1,-96,-6,19,15,33,13,12918809,429
12.05,1547615852,134.45,51.448889,7.488388,249.48,14.96,0.64,185.62,1,-96,-6,19,15,33,13,12918809,429
13.06,1547615853,149.46,51.448749,7.488349,250.64,15.20,0.25,188.17,1,-97,-7,10,9,35,13,12918809,429
14.06,1547615854,164.65,51.448622,7.488303,251.64,14.96,-0.24,190.32,1,-97,-7,10,9,35,13,12918809,429
15.05,1547615855,179.59,51.448498,7.488256,252.31,14.76,-0.20,191.84,1,-97,-8,11,10,35,13,12918809,429
16.06,1547615856,194.37,51.448372,7.488202,252.86,14.66,-0.10,193.02,1,-97,-8,11,10,35,13,12918809,429
17.06,1547615857,209.03,51.448248,7.488145,253.22,14.72,0.06,193.54,1,-99,-6,14,10,32,13,12918809,429
18.06,1547615858,223.74,51.448122,7.488085,253.58,14.82,0.11,193.59,1,-99,-6,14,10,32,13,12918809,429
19.05,1547615859,238.55,51.447994,7.488025,253.85,14.67,-0.16,193.16,1,-99,-6,24,10,31,13,12918809,429
