time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
9.82,1547702766,77.79,51.449403,7.488440,248.97,11.31,0.45,175.78,1,-99,-10,8,8,42,7,28371201,66,0,9.00,6.82,36.00,17.30,1720
20.15,1547702776,219.20,51.448132,7.488087,254.06,13.50,0.07,195.83,1,-107,-10,-2,6,33,9,27771909,271,1,0.50,7.56,282.00,19.89,1720
29.68,1547702786,340.64,51.447035,7.487930,256.55,14.13,0.21,174.55,1,-104,-9,5,9,36,9,27771909,271,2,6.00,13.49,38.00,21.23,1720
39.66,1547702796,485.65,51.445840,7.488875,264.11,15.22,0.31,142.37,1,-104,-8,11,9,36,9,27771909,271,3,3.00,8.88,54.00,21.12,1720
49.70,1547702806,635.59,51.445006,7.490645,268.82,13.29,-0.54,126.44,1,-107,-11,4,5,34,13,28371201,66,4,6.00,5.54,42.00,21.11,1720
59.66,1547702815,723.20,51.444608,7.491590,271.90,0.00,-1.59,129.29,1,-109,-9,3,7,32,6,27771907,272,5,3.00,11.52,41.00,21.58,1720
69.68,1547702825,723.20,51.444608,7.491590,272.44,0.00,0.00,157.65,1,-107,-8,20,7,32,6,27771907,272,6,8.00,30.58,44.00,16.94,1720
79.67,1547702835,814.41,51.443764,7.490943,275.12,14.16,0.51,216.10,1,-74,-5,32,15,63,6,27771907,272,7,9.00,36.46,40.00,-0.30,1720
89.63,1547702846,975.72,51.442606,7.489566,277.53,16.06,-0.18,216.83,1,-76,-5,31,15,60,6,27771907,272,8,2.00,27.54,39.00,-4.31,1720
99.66,1547702856,1133.41,51.441522,7.488034,278.22,15.32,-0.21,228.43,1,-67,-5,33,15,63,6,27771907,272,9,8.00,35.16,42.00,-7.55,1720
109.68,1547702866,1279.45,51.440753,7.486354,279.79,15.24,0.13,232.56,1,-78,-5,19,6,58,1,27771908,270,10,7.00,32.41,39.00,-0.45,1720
119.68,1547702876,1431.76,51.439924,7.484576,283.64,15.10,-0.37,232.31,1,-72,-5,32,15,63,1,27771908,270,11,9.00,38.14,39.00,-1.38,1720
129.66,1547702886,1583.49,51.439116,7.482609,284.75,15.09,0.12,239.98,1,-81,-6,30,12,53,1,27771908,270,12,2.00,24.43,41.00,-1.62,1720
139.65,1547702896,1740.74,51.438411,7.480476,286.62,16.96,0.25,241.18,1,-94,-7,21,10,40,1,27771908,270,13,1.00,11.44,37.00,16.61,1720
149.67,1547702906,1894.50,51.437748,7.478495,288.51,13.22,-0.59,243.60,1,-105,-8,7,10,34,1,27771908,270,14,7.00,7.30,52.00,21.09,1720
159.65,1547702915,2022.23,51.437216,7.476698,286.80,11.73,-0.73,262.06,1,-107,-9,0,6,35,1,27771908,270,15,5.00,18.21,48.00,21.94,1720
169.66,1547702925,2121.83,51.437775,7.476702,287.70,13.84,0.65,50.36,1,-79,-4,31,15,57,1,27771908,270,16,5.00,31.70,38.00,2.83,1720
179.75,1547702936,2303.70,51.438732,7.478928,285.04,22.53,0.36,58.40,1,-81,-4,32,15,58,1,27771908,270,17,10.00,28.81,40.00,2.48,1720
189.67,1547702945,2534.97,51.439958,7.481615,281.06,22.93,-0.10,48.69,1,-86,-5,27,15,51,1,27771908,270,18,5.00,34.60,39.00,11.34,1720
199.69,1547702956,2755.70,51.441427,7.483694,275.69,21.79,-0.03,34.00,1,-85,-5,22,15,52,1,27771908,270,19,6.00,19.54,44.00,12.88,1720
209.64,1547702966,2966.54,51.443073,7.485089,273.42,20.33,-0.11,23.71,1,-72,-6,39,15,63,1,27771909,271,20,0.50,9.01,41.00,-5.81,1720
