time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
9.92,1544619864,108.00,51.490576,7.414099,160.38,13.08,0.15,78.82,1,-88,-7,1,13,49,7,26385408,95,0,3.00,20.91,47.00,19.64,1720
19.98,1544619874,236.96,51.490732,7.415926,157.86,12.28,0.07,87.02,1,-84,-6,18,14,53,4,29391105,167,1,2.00,16.23,45.00,11.08,1720
29.92,1544619884,317.42,51.490594,7.416945,154.03,0.00,-1.24,103.50,1,-78,-5,40,15,60,4,29391105,167,2,3.00,20.85,46.00,1.61,1720
39.99,1544619895,317.42,51.490594,7.416945,153.97,0.00,0.00,103.50,1,-76,-6,31,14,62,4,29391105,167,3,10.00,28.75,47.00,2.03,1720
49.94,1544619905,317.42,51.490594,7.416945,153.97,0.00,0.00,103.50,1,-79,-6,14,15,59,4,29391105,167,4,1.00,10.54,67.00,10.04,1720
59.97,1544619915,359.71,51.490118,7.417368,155.71,12.76,2.14,166.48,1,-83,-6,34,12,54,4,29391105,167,5,5.00,25.30,39.00,11.58,1720
70.01,1544619925,518.25,51.488677,7.417781,152.49,15.31,0.15,175.96,1,-88,-7,26,9,49,4,29391105,167,6,9.00,20.89,68.00,17.03,1720
79.92,1544619935,658.69,51.487437,7.417856,147.98,15.06,-0.13,157.25,1,-98,-9,0,7,41,4,29391105,167,7,3.00,15.08,55.00,20.27,1720
90.00,1544619945,808.36,51.486308,7.418708,138.33,10.17,-1.16,193.35,1,-99,-7,14,15,40,10,28365056,222,8,0.10,3.33,45.00,20.22,1720
99.94,1544619955,896.00,51.485542,7.418614,140.67,10.17,0.13,165.35,1,-95,-6,10,9,41,10,28365056,222,9,5.00,9.18,50.00,17.05,1720
110.03,1544619965,1020.62,51.484441,7.418883,145.98,13.01,0.36,196.02,1,-102,-10,3,7,38,8,28365056,222,10,8.00,16.76,67.00,21.45,1720
119.95,1544619975,1145.55,51.483474,7.417952,144.09,14.16,0.06,213.43,1,-106,-9,5,7,34,8,28365056,222,11,10.00,10.35,54.00,21.27,1720
129.96,1544619985,1283.60,51.482386,7.417072,145.47,11.74,-0.57,201.22,1,-103,-11,3,9,34,8,28365056,222,12,7.00,13.22,51.00,21.39,1720
139.92,1544619995,1357.69,51.481806,7.416769,147.70,1.96,-0.90,202.49,1,-94,-9,13,15,45,8,28365056,222,13,2.00,12.37,49.00,16.81,1720
149.95,1544620005,1360.42,51.481802,7.416765,147.86,0.00,0.00,202.49,1,-94,-9,10,7,45,8,28365056,222,14,5.00,16.47,70.00,20.50,1720
159.93,1544620015,1360.42,51.481802,7.416765,148.01,0.00,0.00,202.49,1,-90,-9,12,9,50,8,28365056,222,15,0.50,6.13,45.00,15.89,1720
169.93,1544620025,1362.14,51.481730,7.416718,150.56,3.07,1.35,204.21,1,-94,-9,5,7,45,8,28365056,222,16,0.10,2.77,46.00,18.28,1720
179.91,1544620035,1419.77,51.481478,7.417291,152.63,10.98,1.04,80.39,1,-90,-10,4,5,50,8,28365056,222,17,5.00,17.23,66.00,15.33,1720
189.96,1544620045,1555.84,51.481617,7.419295,148.82,15.15,0.19,85.50,1,-88,-10,-1,8,52,8,28365056,222,18,3.00,14.57,50.00,19.34,1720
199.96,1544620055,1706.11,51.481743,7.421428,141.17,15.28,0.01,79.70,1,-94,-11,-1,3,47,8,28365056,222,19,4.00,20.73,46.00,19.64,1720
210.00,1544620065,1866.68,51.482093,7.423697,130.98,13.02,0.25,78.37,1,-99,-7,11,8,39,16,28368386,213,20,9.00,14.93,49.00,16.67,1720
219.89,1544620075,1977.06,51.482293,7.425220,128.05,11.53,0.17,77.20,1,-97,-7,7,6,41,16,28368386,213,21,1.00,9.58,37.00,20.11,1720
229.91,1544620085,2085.26,51.482524,7.426764,133.14,10.94,0.55,76.54,1,-95,-9,-2,6,44,16,28368386,213,22,3.00,13.43,39.00,20.02,1720
239.95,1544620095,2201.53,51.482634,7.428494,136.80,13.06,0.42,89.11,1,-98,-10,3,5,43,16,28368386,213,23,9.00,12.63,37.00,17.31,1720
249.90,1544620105,2340.37,51.482465,7.430460,136.86,12.66,-0.52,97.04,1,-97,-8,1,6,40,15,29563904,96,24,0.50,11.46,54.00,20.77,1720
259.92,1544620115,2404.72,51.482375,7.431264,136.85,0.00,0.00,98.39,1,-94,-8,8,6,43,6,28367106,86,25,4.00,20.06,37.00,17.75,1720
