time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.71,1544619868,126.25,51.490597,7.414481,157.38,13.36,-0.12,78.90,1,-100,-10,0,6,36,6,13828122,452,0,5.00,5.52,42.00,19.66,1750
30.51,1544619888,310.86,51.490596,7.416968,154.69,0.00,0.00,104.09,1,-95,-11,3,6,41,8,13416987,62,2,5.00,7.40,102.00,6.09,1750
40.03,1544619897,310.86,51.490596,7.416968,154.53,0.00,0.00,104.09,1,-95,-9,4,9,39,8,13416987,62,3,4.00,10.55,77.00,16.55,1750
51.38,1544619909,310.86,51.490596,7.416968,154.35,0.00,0.00,94.43,1,-94,-12,2,5,43,8,13416987,62,4,6.00,3.97,1471.00,18.06,1750
60.64,1544619918,380.39,51.489883,7.417470,150.29,14.23,0.37,163.82,1,-96,-13,1,5,42,8,13416987,62,5,4.00,3.16,671.00,20.50,1750
72.68,1544619930,559.10,51.488278,7.417767,149.74,15.63,-0.04,180.87,1,-99,-14,-10,4,41,6,13416986,61,6,1.00,1.06,220.00,19.83,1750
80.96,1544619938,682.65,51.487229,7.418084,143.88,15.07,0.63,140.51,1,-104,-17,-7,4,38,6,13416986,61,7,7.00,4.36,761.00,21.27,1750
91.25,1544619949,822.79,51.486137,7.418663,139.54,9.77,-0.24,196.75,1,-99,-13,-1,8,38,6,13416986,61,8,6.00,1.36,395.00,21.38,1750
102.03,1544619959,929.40,51.485208,7.418861,147.94,11.87,0.94,157.48,1,-105,-17,-8,4,38,6,13416986,61,9,5.00,1.19,1022.00,17.41,1750
113.10,1544619970,1066.37,51.483997,7.418535,144.94,14.04,0.01,208.26,1,-108,-18,-8,4,35,6,13416986,61,10,2.00,0.82,6095.00,17.22,1750
119.91,1544619977,1151.12,51.483347,7.417810,142.17,14.16,0.04,213.03,1,-107,-18,-10,4,35,43,12897049,306,11,2.00,3.61,152.00,16.61,1750
130.24,1544619987,1298.43,51.482210,7.416970,145.81,10.45,-0.56,198.91,1,-99,-12,1,6,38,17,13427483,146,12,2.00,3.07,294.00,17.12,1750
140.95,1544619998,1352.03,51.481800,7.416759,146.98,0.00,-0.75,201.79,1,-100,-15,-3,6,40,17,13427483,146,13,0.10,0.25,536.00,16.30,1750
150.26,1544620008,1352.03,51.481800,7.416759,147.05,0.00,0.00,201.79,1,-99,-16,-8,4,43,17,13427483,146,14,2.00,1.41,581.00,12.03,1750
160.41,1544620017,1352.03,51.481800,7.416759,147.10,0.00,0.00,201.79,1,-102,-16,-6,5,39,10,13884185,146,15,8.00,5.31,359.00,15.42,1750
169.93,1544620027,1355.67,51.481702,7.416686,148.36,3.74,1.30,200.67,1,-95,-14,-2,6,45,10,13884185,27,16,7.00,8.90,83.00,19.47,1750
180.29,1544620037,1430.84,51.481495,7.417627,151.30,13.08,1.66,83.12,1,-88,-12,5,5,50,9,13884185,27,17,4.00,5.60,388.00,20.03,1750
189.98,1544620047,1558.28,51.481608,7.419499,149.90,15.23,0.22,86.04,1,-88,-10,-4,6,46,11,13495579,134,18,3.00,7.71,35.00,20.08,1750
199.97,1544620057,1707.74,51.481753,7.421657,139.88,14.97,0.10,81.37,1,-87,-12,-2,6,51,11,13495577,135,19,0.10,1.95,41.00,13.41,1750
209.95,1544620067,1852.69,51.482037,7.423682,128.29,13.37,0.30,77.12,1,-95,-13,-2,6,43,16,13884417,385,20,6.00,7.37,41.00,18.62,880
