time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.05,1544794917,0.00,51.490349,7.412451,159.53,7.00,0.00,70.24,1,-97,-13,-4,7,41,8,13828122,452
1.05,1544794918,7.03,51.490386,7.412564,161.13,8.16,1.16,71.11,1,-100,-12,-3,5,36,8,13828122,452
2.05,1544794919,15.16,51.490419,7.412690,161.33,10.33,2.18,73.72,1,-100,-12,-3,5,36,8,13828122,452
3.07,1544794920,25.65,51.490453,7.412882,160.81,11.60,1.25,75.12,1,-95,-12,-4,5,42,8,13828122,452
4.05,1544794921,37.11,51.490458,7.413065,160.47,12.45,0.86,76.33,1,-95,-12,-4,5,42,8,13828122,452
5.05,1544794922,49.56,51.490484,7.413241,160.22,12.31,-0.14,76.68,1,-95,-12,-4,5,42,8,13828122,452
6.05,1544794923,61.86,51.490510,7.413406,160.12,12.19,-0.12,78.08,1,-98,-10,2,8,36,8,13828122,452
7.07,1544794924,74.23,51.490536,7.413586,159.91,13.07,0.87,78.66,1,-98,-10,2,8,36,8,13828122,452
8.05,1544794925,87.11,51.490562,7.413781,159.56,13.77,0.71,78.28,1,-99,-10,0,7,35,8,13828122,452
9.05,1544794926,100.88,51.490588,7.413974,159.50,14.13,0.37,77.93,1,-99,-10,0,7,35,8,13828122,452
10.05,1544794927,114.97,51.490610,7.414174,159.38,14.58,0.45,77.74,1,-100,-11,-1,6,35,8,13828122,452
11.05,1544794928,129.62,51.490632,7.414373,159.24,14.58,0.01,78.27,1,-100,-11,-1,6,35,8,13828122,452
12.05,1544794929,144.21,51.490656,7.414569,158.98,14.03,-0.55,78.83,1,-101,-14,-3,4,38,8,13828122,452
13.05,1544794930,158.25,51.490679,7.414779,158.08,13.77,-0.27,78.97,1,-101,-14,-3,4,38,8,13828122,452
14.05,1544794931,171.99,51.490700,7.414984,157.23,13.44,-0.33,79.82,1,-102,-16,-6,3,37,8,13828122,452
15.05,1544794932,185.42,51.490718,7.415171,156.70,12.99,-0.44,80.49,1,-102,-16,-6,3,37,8,13828122,452
16.05,1544794933,198.42,51.490736,7.415364,155.50,12.81,-0.18,81.56,1,-101,-15,-5,5,37,8,13828122,452
17.05,1544794934,211.22,51.490746,7.415538,154.65,12.56,-0.25,82.84,1,-101,-15,-5,5,37,8,13828122,452
