time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
9.05,1544794926,78.91,51.490506,7.413801,155.59,13.59,0.00,78.02,0,-92,-7,0,0,47,0,0,167
10.05,1544794927,92.50,51.490528,7.413995,155.33,14.09,0.00,78.54,0,-92,-7,0,0,47,0,0,167
18.05,1544794935,202.80,51.490693,7.415539,154.38,12.60,0.00,83.75,0,-81,-6,0,0,57,0,0,167
19.05,1544794936,215.39,51.490701,7.415717,154.10,12.38,0.00,85.58,0,-81,-6,0,0,57,0,0,167
20.05,1544794937,227.77,51.490701,7.415894,153.79,12.21,0.00,88.05,0,-84,-6,0,0,53,0,0,167
21.05,1544794938,240.01,51.490695,7.416069,153.22,12.05,0.00,90.17,0,-84,-6,0,0,53,0,0,167
100.05,1544795017,575.21,51.488030,7.417701,151.78,16.30,0.00,180.78,0,-98,-10,0,0,45,0,0,222
101.05,1544795018,591.52,51.487883,7.417695,151.63,16.14,0.00,180.34,0,-98,-10,0,0,45,0,0,222
102.05,1544795019,607.66,51.487738,7.417704,151.36,16.07,0.00,178.39,0,-97,-10,0,0,45,0,0,222
102.05,1544795019,607.68,51.487738,7.417704,151.36,16.07,0.00,178.39,0,-96,-8,0,0,41,0,0,45
103.05,1544795020,623.75,51.487597,7.417759,150.88,15.75,0.00,165.11,0,-97,-10,0,0,45,0,0,222
103.05,1544795020,623.77,51.487597,7.417759,150.88,15.75,0.00,165.11,0,-96,-8,0,0,41,0,0,45
104.05,1544795021,639.50,51.487460,7.417824,150.25,15.70,0.00,162.42,0,-95,-10,0,0,46,0,0,222
104.05,1544795021,639.50,51.487460,7.417824,150.25,15.70,0.00,162.42,0,-94,-9,0,0,44,0,0,45
105.04,1544795022,655.12,51.487341,7.417935,149.76,15.53,0.00,147.99,0,-95,-10,0,0,46,0,0,222
105.04,1544795022,655.14,51.487341,7.417935,149.76,15.53,0.00,147.99,0,-94,-9,0,0,44,0,0,45
106.05,1544795023,670.70,51.487223,7.418067,149.30,15.65,0.00,144.65,0,-103,-16,0,0,45,0,0,418
107.05,1544795024,686.35,51.487115,7.418211,148.40,15.36,0.00,140.97,0,-103,-16,0,0,45,0,0,418
110.05,1544795027,731.27,51.486806,7.418590,145.27,13.46,0.00,153.22,0,-107,-14,0,0,41,0,0,167
111.05,1544795028,744.71,51.486693,7.418673,144.33,13.29,0.00,156.77,0,-107,-14,0,0,41,0,0,167
112.05,1544795029,758.03,51.486572,7.418701,143.85,13.34,0.00,174.36,0,-106,-14,0,0,40,0,0,167
112.05,1544795029,758.03,51.486572,7.418701,143.85,13.34,0.00,174.36,0,-104,-13,0,0,40,0,0,291
113.05,1544795030,771.34,51.486452,7.418712,143.62,12.94,0.00,177.76,0,-106,-14,0,0,40,0,0,167
113.05,1544795030,771.36,51.486452,7.418712,143.62,12.94,0.00,177.76,0,-104,-13,0,0,40,0,0,291
125.05,1544795042,900.59,51.485363,7.418714,147.76,10.87,0.00,159.76,0,-100,-9,0,0,41,0,0,167
125.05,1544795042,900.59,51.485363,7.418714,147.76,10.87,0.00,159.76,0,-106,-14,0,0,40,0,0,387
125.05,1544795042,900.60,51.485363,7.418714,147.76,10.87,0.00,159.76,0,-99,-8,0,0,37,0,0,291
125.05,1544795042,900.61,51.485363,7.418714,147.76,10.87,0.00,159.76,0,-105,-13,0,0,37,0,0,399
126.05,1544795043,911.45,51.485270,7.418783,148.62,11.17,0.00,157.75,0,-100,-9,0,0,41,0,0,167
126.05,1544795043,911.46,51.485270,7.418783,148.62,11.17,0.00,157.75,0,-106,-14,0,0,40,0,0,387
126.05,1544795043,911.46,51.485270,7.418783,148.62,11.17,0.00,157.75,0,-99,-8,0,0,37,0,0,291
126.05,1544795043,911.48,51.485270,7.418783,148.62,11.17,0.00,157.75,0,-105,-13,0,0,37,0,0,399
129.05,1544795046,944.57,51.484983,7.418929,150.02,11.95,0.00,172.54,0,-103,-11,0,0,41,0,0,222
129.05,1544795046,944.58,51.484983,7.418929,150.02,11.95,0.00,172.54,0,-101,-9,0,0,37,0,0,45
130.04,1544795047,956.47,51.484876,7.418945,150.44,11.93,0.00,174.51,0,-103,-11,0,0,41,0,0,222
130.04,1544795047,956.47,51.484876,7.418945,150.44,11.93,0.00,174.51,0,-101,-9,0,0,37,0,0,45
133.04,1544795050,992.63,51.484527,7.418873,151.42,12.70,0.00,192.43,0,-101,-13,0,0,44,0,0,167
133.04,1544795050,992.63,51.484527,7.418873,151.42,12.70,0.00,192.43,0,-103,-14,0,0,43,0,0,213
133.04,1544795050,992.64,51.484527,7.418873,151.42,12.70,0.00,192.43,0,-97,-8,0,0,39,0,0,291
