time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.01,1544794918,0.03,51.490266,7.412324,162.95,6.66,0.00,70.79,0,-113,-15,0,0,22,0,0,200
0.01,1544794918,0.03,51.490266,7.412324,162.95,6.66,0.00,70.79,0,-113,-16,0,0,23,0,0,333
0.01,1544794918,0.03,51.490266,7.412324,162.95,6.66,0.00,70.79,0,-114,-16,0,0,23,0,0,158
0.01,1544794918,0.03,51.490266,7.412324,162.95,6.66,0.00,70.79,0,-118,-11,0,0,12,0,0,337
0.01,1544794918,0.03,51.490266,7.412324,162.95,6.66,0.00,70.79,0,-123,-16,0,0,12,0,0,127
1.01,1544794919,6.72,51.490283,7.412419,162.84,7.60,0.00,72.75,0,-113,-15,0,0,22,0,0,200
1.01,1544794919,6.73,51.490283,7.412419,162.84,7.60,0.00,72.75,0,-113,-16,0,0,23,0,0,333
1.01,1544794919,6.73,51.490283,7.412419,162.84,7.60,0.00,72.75,0,-114,-16,0,0,23,0,0,158
1.02,1544794919,6.74,51.490283,7.412419,162.84,7.60,0.00,72.75,0,-118,-11,0,0,12,0,0,337
1.02,1544794919,6.74,51.490283,7.412419,162.84,7.60,0.00,72.75,0,-123,-16,0,0,12,0,0,127
2.01,1544794920,14.33,51.490301,7.412531,163.09,8.86,0.00,75.53,0,-107,-13,0,0,24,0,0,200
2.01,1544794920,14.33,51.490301,7.412531,163.09,8.86,0.00,75.53,0,-112,-15,0,0,24,0,0,390
2.01,1544794920,14.34,51.490301,7.412531,163.09,8.86,0.00,75.53,0,-113,-18,0,0,24,0,0,199
2.02,1544794920,14.34,51.490301,7.412531,163.09,8.86,0.00,75.53,0,-123,-13,0,0,11,0,0,337
2.02,1544794920,14.34,51.490301,7.412531,163.09,8.86,0.00,75.53,0,-126,-17,0,0,11,0,0,127
3.01,1544794921,23.18,51.490326,7.412685,163.18,10.93,0.00,74.78,0,-107,-13,0,0,24,0,0,200
3.01,1544794921,23.19,51.490326,7.412685,163.18,10.93,0.00,74.78,0,-112,-15,0,0,24,0,0,390
3.01,1544794921,23.20,51.490326,7.412685,163.18,10.93,0.00,74.78,0,-113,-18,0,0,24,0,0,199
3.01,1544794921,23.20,51.490326,7.412685,163.18,10.93,0.00,74.78,0,-123,-13,0,0,11,0,0,337
3.02,1544794921,23.21,51.490326,7.412685,163.18,10.93,0.00,74.78,0,-126,-17,0,0,11,0,0,127
4.01,1544794922,34.09,51.490350,7.412854,163.91,11.75,0.00,75.34,0,-108,-12,0,0,23,0,0,200
5.01,1544794923,45.83,51.490376,7.413025,164.90,12.28,0.00,75.84,0,-108,-12,0,0,23,0,0,200
6.01,1544794924,58.12,51.490697,7.413516,164.82,12.35,0.00,76.29,0,-116,-16,0,0,30,0,0,385
7.01,1544794925,70.48,51.490421,7.413390,164.66,12.53,0.00,77.14,0,-116,-16,0,0,30,0,0,385
8.01,1544794926,83.05,51.490440,7.413558,164.39,12.83,0.00,77.31,0,-113,-14,0,0,20,0,0,385
8.02,1544794926,83.07,51.490440,7.413558,164.39,12.83,0.00,77.31,0,-116,-19,0,0,23,0,0,390
8.02,1544794926,83.08,51.490440,7.413558,164.39,12.83,0.00,77.31,0,-117,-20,0,0,23,0,0,333
8.02,1544794926,83.09,51.490440,7.413558,164.39,12.83,0.00,77.31,0,-117,-20,0,0,22,0,0,137
8.02,1544794926,83.09,51.490440,7.413558,164.39,12.83,0.00,77.31,0,-119,-20,0,0,20,0,0,158
8.02,1544794926,83.11,51.490440,7.413558,164.39,12.83,0.00,77.31,0,-127,-16,0,0,9,0,0,293
8.02,1544794926,83.12,51.490440,7.413558,164.39,12.83,0.00,77.31,0,-114,-10,0,0,15,0,0,289
8.02,1544794926,83.12,51.490440,7.413558,164.39,12.83,0.00,77.31,0,-117,-11,0,0,15,0,0,347
9.02,1544794927,95.90,51.490465,7.413754,163.90,13.67,0.00,77.89,0,-113,-14,0,0,20,0,0,385
9.02,1544794927,95.91,51.490465,7.413754,163.90,13.67,0.00,77.89,0,-116,-19,0,0,23,0,0,390
9.02,1544794927,95.92,51.490465,7.413754,163.90,13.67,0.00,77.89,0,-117,-20,0,0,23,0,0,333
9.02,1544794927,95.94,51.490465,7.413754,163.90,13.67,0.00,77.89,0,-117,-20,0,0,22,0,0,137
9.02,1544794927,95.94,51.490465,7.413754,163.90,13.67,0.00,77.89,0,-119,-20,0,0,20,0,0,158
9.02,1544794927,95.95,51.490465,7.413754,163.90,13.67,0.00,77.89,0,-127,-16,0,0,9,0,0,293
9.02,1544794927,95.96,51.490465,7.413754,163.90,13.67,0.00,77.89,0,-114,-10,0,0,15,0,0,289
9.02,1544794927,95.96,51.490465,7.413754,163.90,13.67,0.00,77.89,0,-117,-11,0,0,15,0,0,347
10.01,1544794928,109.55,51.490489,7.413960,163.64,14.23,0.00,78.63,0,-113,-18,0,0,24,0,0,158
10.02,1544794928,109.57,51.490489,7.413960,163.64,14.23,0.00,78.63,0,-116,-20,0,0,24,0,0,137
10.02,1544794928,109.58,51.490489,7.413960,163.64,14.23,0.00,78.63,0,-116,-19,0,0,23,0,0,385
10.02,1544794928,109.58,51.490489,7.413960,163.64,14.23,0.00,78.63,0,-116,-20,0,0,24,0,0,390
10.02,1544794928,109.60,51.490489,7.413960,163.64,14.23,0.00,78.63,0,-117,-13,0,0,16,0,0,347
