time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
9.89,1545227986,96.06,51.490543,7.413734,160.06,13.69,0.31,78.07,1,-111,-14,-5,4,22,22,13532675,385,0,6.00,2.73,65.00,860
21.33,1545227998,260.56,51.490713,7.416051,156.55,10.10,-2.27,90.61,1,-112,-15,-6,5,24,19,13532675,385,1,8.00,11.78,265.00,860
29.88,1545228006,298.37,51.490646,7.416529,155.68,0.00,-0.96,99.55,1,-111,-13,3,9,20,17,12806666,385,2,5.00,24.72,55.00,1865
39.95,1545228016,298.37,51.490604,7.416697,155.46,3.98,0.00,106.55,1,-111,-10,3,11,15,17,12806666,385,3,9.00,19.06,51.00,1865
51.01,1545228027,413.22,51.489748,7.417457,153.60,15.41,0.08,166.98,1,-115,-11,0,7,14,17,12806666,385,4,5.00,5.21,561.00,1865
60.00,1545228036,550.86,51.488486,7.417721,155.31,15.92,0.16,179.29,1,-109,-9,4,6,18,17,12806666,385,5,9.00,15.83,106.00,1865
73.45,1545228049,753.30,51.486827,7.418572,148.00,14.94,0.41,152.07,1,-119,-13,-3,5,12,17,12806666,385,6,10.00,4.35,963.00,1865
82.36,1545228059,875.37,51.485760,7.418531,144.44,11.96,0.54,175.11,1,-116,-12,2,9,15,16,13392906,346,7,3.00,2.56,1191.00,1865
91.44,1545228068,978.43,51.484900,7.418948,151.61,11.28,0.70,175.78,1,-112,-11,3,9,17,16,13392906,346,8,8.00,20.87,1479.00,1865
100.66,1545228077,1097.29,51.483876,7.418349,148.54,14.22,-0.01,211.05,1,-108,-8,6,9,19,16,13392906,346,9,5.00,16.55,500.00,1865
111.44,1545228087,1251.01,51.482714,7.417226,149.05,12.59,-0.65,203.43,1,-109,-7,8,8,16,16,13392906,346,10,0.10,2.13,882.00,1865
119.93,1545228096,1344.36,51.481935,7.416812,150.44,7.84,-1.63,200.59,1,-97,-8,5,8,23,16,13392906,346,11,3.00,11.64,141.00,1865
131.61,1545228107,1370.43,51.481755,7.416712,151.22,0.00,0.00,200.26,1,-110,-9,4,9,17,16,13392906,346,12,0.10,0.70,1028.00,1865
143.17,1545228119,1370.43,51.481755,7.416712,151.27,0.00,0.00,200.26,1,-110,-9,3,4,19,16,13392906,346,13,0.50,1.09,2032.00,1865
152.66,1545228129,1370.43,51.481754,7.416710,151.28,0.00,0.00,200.26,1,-111,-10,2,4,17,16,13392906,346,14,9.00,5.58,1933.00,1865
161.69,1545228137,1370.43,51.481744,7.416705,151.34,0.00,0.00,244.76,1,-111,-9,2,7,15,16,13392906,346,15,1.00,2.73,1213.00,1865
170.23,1545228146,1403.76,51.481444,7.416926,153.51,9.04,2.94,86.98,1,-103,-10,5,10,25,16,13392906,346,16,7.00,13.58,199.00,1865
179.89,1545228156,1508.49,51.481547,7.418478,153.67,13.53,0.29,84.87,1,-96,-6,11,14,27,16,13392906,346,17,0.10,7.41,55.00,1865
189.86,1545228166,1646.46,51.481653,7.420533,148.79,13.90,-0.52,84.73,1,-100,-8,5,6,23,16,13392906,346,18,0.10,8.08,58.00,1865
199.88,1545228176,1781.90,51.481893,7.422448,143.36,14.19,-0.09,77.57,1,-93,-7,20,15,34,16,13392906,346,19,5.00,16.49,59.00,1865
209.95,1545228186,1918.49,51.482176,7.424341,133.99,11.92,-0.46,77.75,1,-95,-7,16,11,29,16,13392906,346,20,8.00,20.05,58.00,1865
219.88,1545228196,2032.29,51.482400,7.425948,136.47,10.85,-0.86,77.80,1,-93,-7,-1,7,34,16,13392906,346,21,0.50,11.76,53.00,1865
229.87,1545228206,2148.97,51.482594,7.427690,143.71,13.75,-0.08,83.13,1,-88,-8,-4,11,38,16,13392906,346,22,1.00,11.85,103.00,1865
239.92,1545228216,2286.47,51.482526,7.429701,138.04,14.12,0.06,96.67,1,-94,-9,7,7,33,16,13392906,346,23,1.00,27.30,52.00,1865
249.87,1545228226,2395.62,51.482374,7.431233,144.77,3.03,-2.73,99.54,1,-78,-6,26,15,47,4,13392904,347,24,4.00,61.54,66.00,1865
