time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
9.95,1545227986,96.06,51.490543,7.413734,160.06,13.69,0.31,78.07,1,-111,-14,-5,4,22,22,13532675,385,0,2.00,1.41,60.00,20.39,890
21.22,1545227997,260.56,51.490713,7.416051,156.55,10.10,-2.27,90.61,1,-112,-15,-6,5,24,19,13532675,385,1,5.00,5.02,290.00,20.62,890
29.98,1545228006,298.37,51.490646,7.416529,155.68,0.00,-0.96,99.55,1,-111,-13,3,9,20,17,12806666,385,2,0.10,4.26,57.00,21.25,1770
39.98,1545228016,298.37,51.490604,7.416697,155.46,3.98,0.00,106.55,1,-111,-10,3,11,15,17,12806666,385,3,10.00,3.75,54.00,21.47,1770
51.05,1545228027,413.22,51.489748,7.417457,153.60,15.41,0.08,166.98,1,-115,-11,0,7,14,17,12806666,385,4,10.00,1.63,585.00,21.53,1770
60.35,1545228036,550.86,51.488486,7.417721,155.31,15.92,0.16,179.29,1,-109,-9,4,6,18,17,12806666,385,5,10.00,2.59,103.00,21.56,1770
73.58,1545228050,753.30,51.486827,7.418572,148.00,14.94,0.41,152.07,1,-119,-13,-3,5,12,17,12806666,385,6,0.10,0.21,959.00,20.38,1770
82.48,1545228058,875.37,51.485760,7.418531,144.44,11.96,0.54,175.11,1,-116,-12,2,9,15,16,13392906,346,7,2.00,1.46,1191.00,20.55,1770
91.37,1545228068,978.43,51.484900,7.418948,151.61,11.28,0.70,175.78,1,-112,-11,3,9,17,16,13392906,346,8,0.10,0.34,1476.00,20.56,1770
100.72,1545228077,1097.29,51.483876,7.418349,148.54,14.22,-0.01,211.05,1,-108,-8,6,9,19,16,13392906,346,9,8.00,5.72,434.00,21.17,1770
111.42,1545228087,1251.01,51.482714,7.417226,149.05,12.59,-0.65,203.43,1,-109,-7,8,8,16,16,13392906,346,10,0.10,1.62,875.00,20.42,1770
