time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
9.70,1547474051,108.44,51.490583,7.414133,159.20,15.35,0.32,77.90,1,-102,-13,-1,4,35,7,13828122,452,0,0.10,4.04,49.00,1845
20.31,1547474062,268.51,51.490660,7.416385,156.77,11.79,-1.54,96.09,1,-93,-12,-4,6,41,6,13416987,62,1,4.00,1.66,358.00,1845
31.14,1547474073,309.50,51.490562,7.416888,156.74,0.00,0.00,103.49,1,-97,-12,2,9,40,6,13416987,62,2,3.00,0.77,1322.00,1845
40.05,1547474081,309.50,51.490562,7.416888,156.71,0.00,0.00,103.49,1,-97,-12,3,5,41,6,13416987,62,3,3.00,1.42,75.00,1845
50.91,1547474093,309.50,51.490562,7.416888,156.70,0.00,0.00,103.49,1,-97,-13,2,5,42,6,13416987,62,4,0.10,0.14,7030.00,1845
61.60,1547474103,309.50,51.490507,7.416960,156.52,0.00,0.00,103.49,1,-98,-14,2,6,39,6,13416987,62,5,7.00,1.87,789.00,1845
70.71,1547474112,311.61,51.490424,7.417171,156.72,3.96,1.84,136.51,1,-98,-13,2,5,40,6,13416987,62,6,0.10,0.22,701.00,1845
85.85,1547474128,508.20,51.488613,7.417755,154.25,16.20,0.13,177.46,1,-100,-15,-4,5,40,6,13416987,62,7,2.00,0.89,1884.00,1845
92.12,1547474134,623.12,51.487585,7.417744,154.10,16.27,-0.04,174.14,1,-99,-13,-5,5,39,5,13416986,61,8,0.50,0.59,1174.00,1845
101.18,1547474143,763.50,51.486506,7.418726,145.12,14.49,-0.09,178.28,1,-103,-16,-7,4,39,5,13416986,61,9,0.50,0.88,968.00,1845
111.75,1547474154,889.18,51.485446,7.418664,146.04,12.17,0.15,155.76,1,-104,-14,-5,5,34,5,13416986,61,10,7.00,1.45,1201.00,1845
122.42,1547474164,1029.49,51.484246,7.418682,150.21,14.22,0.20,205.82,1,-108,-15,-7,4,33,5,13416986,61,11,4.00,1.16,1565.00,1845
