time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.03,1547474045,0.00,51.490294,7.412418,161.51,7.20,0.00,77.68,1,-91,-6,14,9,48,7,26385408,95
1.03,1547474046,7.23,51.490307,7.412534,160.53,8.65,1.44,78.24,1,-93,-6,11,11,40,7,26385408,95
2.03,1547474047,15.88,51.490320,7.412672,158.81,9.44,0.79,79.28,1,-93,-6,11,11,40,7,26385408,95
3.04,1547474048,25.39,51.490336,7.412829,157.26,10.39,0.95,78.72,1,-86,-5,18,11,48,7,26385408,95
4.03,1547474049,35.70,51.490354,7.412999,157.27,12.01,1.63,79.12,1,-86,-5,18,11,48,7,26385408,95
5.03,1547474050,47.72,51.490373,7.413178,157.52,13.25,1.23,80.00,1,-86,-5,18,11,48,7,26385408,95
6.03,1547474051,60.97,51.490389,7.413348,158.05,13.49,0.25,79.17,1,-87,-6,7,11,47,7,26385408,95
7.03,1547474052,74.46,51.490417,7.413544,158.95,13.50,0.00,78.75,1,-87,-6,7,11,47,7,26385408,95
8.03,1547474053,87.96,51.490444,7.413760,159.49,14.47,0.98,79.18,1,-91,-7,10,9,47,7,26385408,95
9.03,1547474054,102.43,51.490465,7.413969,159.62,14.94,0.46,78.37,1,-91,-7,10,9,47,7,26385408,95
10.03,1547474055,117.39,51.490500,7.414195,159.77,15.36,0.42,77.69,1,-88,-6,14,10,47,7,26385408,95
11.03,1547474056,132.75,51.490534,7.414413,159.98,15.18,-0.18,77.23,1,-88,-6,14,10,47,7,26385408,95
12.13,1547474057,149.38,51.490568,7.414643,160.01,14.96,-0.20,77.60,1,-82,-5,18,13,52,7,26385408,95
13.13,1547474058,164.37,51.490600,7.414830,159.83,14.75,-0.21,78.67,1,-82,-5,18,13,52,7,26385408,95
14.13,1547474059,179.14,51.490623,7.415012,159.04,14.82,0.06,79.67,1,-89,-6,8,11,45,7,26385408,95
15.13,1547474060,193.97,51.490646,7.415207,158.70,14.88,0.06,81.15,1,-89,-6,8,11,45,7,26385408,95
16.13,1547474061,208.83,51.490663,7.415416,158.32,14.45,-0.42,82.55,1,-85,-7,-1,6,51,4,29391105,167
17.13,1547474062,223.28,51.490673,7.415628,158.05,14.17,-0.28,84.19,1,-85,-7,-1,6,51,4,29391105,167
18.13,1547474063,237.45,51.490677,7.415844,157.68,14.05,-0.12,86.34,1,-81,-6,24,15,57,4,29391105,167
19.13,1547474064,251.51,51.490677,7.416056,157.52,13.89,-0.17,89.43,1,-81,-6,24,15,57,4,29391105,167
20.13,1547474065,265.40,51.490667,7.416245,157.53,13.23,-0.66,92.35,1,-83,-6,14,15,54,4,29391105,167
21.13,1547474066,278.61,51.490650,7.416422,157.29,11.80,-1.43,95.28,1,-83,-6,14,15,54,4,29391105,167
22.13,1547474067,290.39,51.490633,7.416571,156.92,9.72,-2.09,97.74,1,-83,-6,20,15,52,4,29391105,167
23.13,1547474068,300.13,51.490618,7.416679,156.73,7.00,-2.70,101.86,1,-83,-6,20,15,52,4,29391105,167
24.13,1547474069,307.13,51.490600,7.416767,156.52,5.43,-1.58,104.78,1,-86,-6,19,15,50,4,29391105,167
