time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
9.85,1547474056,102.43,51.490465,7.413969,159.62,14.94,0.46,78.37,1,-91,-7,10,9,47,7,26385408,95,0,0.50,6.27,158.00,1815
19.87,1547474066,251.51,51.490677,7.416056,157.52,13.89,-0.17,89.43,1,-81,-6,24,15,57,4,29391105,167,1,3.00,12.54,40.00,1815
29.83,1547474075,319.65,51.490573,7.416910,156.25,0.00,0.00,104.09,1,-77,-6,29,15,61,4,29391105,167,2,1.00,8.37,81.00,1815
39.87,1547474086,319.65,51.491490,7.421295,156.20,0.00,0.00,104.09,1,-76,-6,28,15,62,4,29391105,167,3,6.00,18.48,54.00,1815
49.82,1547474096,319.65,51.490573,7.416910,156.14,0.00,0.00,104.09,1,-77,-8,30,15,63,4,29391105,167,4,1.00,9.72,38.00,1815
59.83,1547474105,319.65,51.490548,7.416908,156.09,0.00,0.00,163.67,1,-77,-7,28,15,61,4,29391105,167,5,4.00,14.71,54.00,1815
69.86,1547474116,319.65,51.490521,7.416957,155.04,0.00,0.00,102.38,1,-75,-6,31,15,63,4,29391105,167,6,8.00,17.76,47.00,1815
79.84,1547474125,412.68,51.489553,7.417552,150.26,15.14,0.08,166.75,1,-84,-6,24,15,54,4,29391105,167,7,0.10,4.15,142.00,1815
89.91,1547474135,571.69,51.488135,7.417740,150.12,16.49,0.12,180.72,1,-92,-7,7,11,47,4,29391105,167,8,0.50,2.03,55.00,1815
99.90,1547474145,735.20,51.486878,7.418504,147.37,15.11,-0.40,139.78,1,-100,-7,11,10,39,10,28365056,222,9,0.50,7.72,47.00,1815
109.87,1547474155,867.66,51.485733,7.418512,142.21,11.72,0.09,175.23,1,-97,-6,14,9,41,10,28365056,222,10,6.00,5.70,110.00,1815
119.92,1547474165,990.93,51.484663,7.418962,149.10,13.01,0.08,181.51,1,-100,-10,-1,6,39,10,28365056,222,11,0.50,1.92,61.00,1815
129.88,1547474175,1134.54,51.483516,7.417967,145.18,15.05,-0.11,212.96,1,-104,-9,6,7,35,10,28365056,222,12,5.00,8.00,38.00,1815
139.86,1547474185,1281.25,51.482373,7.417038,143.80,13.66,-0.23,201.34,1,-106,-10,-1,6,35,10,28365056,222,13,0.10,3.51,67.00,1815
149.95,1547474195,1374.41,51.481651,7.416647,145.43,0.64,-1.42,200.00,1,-91,-10,10,7,50,10,28365056,222,14,9.00,11.41,54.00,1815
159.95,1547474205,1375.05,51.481651,7.416647,145.42,0.00,0.00,200.00,1,-95,-11,5,7,45,10,28365056,222,15,7.00,17.95,68.00,1815
169.85,1547474216,1384.82,51.481443,7.416568,145.35,3.08,1.35,161.02,1,-84,-8,8,14,55,5,28365057,224,16,3.00,13.34,39.00,1815
179.87,1547474225,1466.49,51.481477,7.417835,150.04,12.34,0.61,84.36,1,-89,-9,1,8,51,5,28365057,224,17,3.00,7.76,42.00,1815
189.87,1547474235,1597.77,51.481589,7.419735,147.27,13.80,-0.11,85.39,1,-85,-9,1,4,52,5,28365057,224,18,3.00,7.01,38.00,1815
199.86,1547474245,1743.25,51.481767,7.421889,143.34,14.96,0.29,78.07,1,-95,-11,-1,7,45,5,28365057,224,19,10.00,12.49,44.00,1815
209.87,1547474256,1891.62,51.482054,7.424008,135.14,15.06,0.37,78.60,1,-101,-8,10,7,38,16,28368386,213,20,7.00,11.46,61.00,1815
219.84,1547474266,2037.64,51.482344,7.426048,130.81,13.52,0.12,78.24,1,-103,-11,5,4,38,16,28368386,213,21,10.00,13.50,44.00,1815
229.88,1547474275,2156.06,51.482526,7.427732,136.02,9.58,0.69,82.92,1,-96,-8,2,5,42,16,28368386,213,22,6.00,11.07,44.00,1815
239.82,1547474286,2198.99,51.482477,7.433246,139.51,0.00,0.00,73.39,1,-95,-8,2,6,43,16,28368386,213,23,4.00,5.55,134.00,1815
249.85,1547474295,2198.99,51.482558,7.428573,141.60,7.57,0.00,84.22,1,-98,-10,6,6,43,16,28368386,213,24,3.00,4.40,42.00,1815
259.86,1547474306,2326.58,51.476871,7.427944,143.92,13.86,-0.05,96.69,1,-102,-9,-3,6,39,6,28367106,86,25,1.00,8.95,35.00,1815
269.84,1547474316,2455.84,51.482236,7.432327,141.92,12.50,-0.53,96.99,1,-98,-10,6,7,44,12,28368386,213,26,7.00,21.16,44.00,1815
279.82,1547474325,2583.50,51.482907,7.431672,145.96,13.23,0.13,97.42,1,-97,-10,5,8,43,4,28367106,86,27,7.00,12.17,36.00,1815
289.85,1547474335,2706.91,51.481991,7.435921,150.60,10.35,-0.47,96.35,1,-96,-12,0,7,47,4,28367105,213,28,1.00,8.04,38.00,1815
299.85,1547474345,2807.78,51.482431,7.439149,154.31,11.74,0.40,95.49,1,-92,-8,11,11,46,4,28367105,85,29,4.00,15.64,46.00,1815
309.83,1547474355,2873.83,51.481824,7.438335,154.55,2.30,-0.02,113.48,1,-89,-6,14,10,48,4,28367105,85,30,6.00,11.08,92.00,1815
319.84,1547474365,2912.86,51.480756,7.439545,156.92,8.00,1.41,94.05,1,-100,-9,6,10,38,4,28367105,85,31,9.00,20.50,36.00,1815
329.90,1547474375,3004.40,51.481690,7.440225,156.85,7.77,-0.76,96.73,1,-99,-9,22,9,40,9,28368386,213,32,0.50,3.65,45.00,1815
