time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.09,1547646475,0.03,51.490350,7.412490,165.51,7.28,0.00,72.47,0,-103,-16,0,0,39,0,0,450
1.09,1547646476,7.33,51.490380,7.412602,166.56,7.86,0.00,75.00,0,-103,-16,0,0,39,0,0,450
2.09,1547646477,15.19,51.490406,7.412732,167.21,9.31,0.00,76.11,0,-103,-16,0,0,39,0,0,450
5.09,1547646480,45.15,51.490432,7.413158,168.07,11.21,0.00,80.39,0,-100,-15,0,0,41,0,0,450
6.09,1547646481,56.36,51.490430,7.413313,168.63,11.47,0.00,81.36,0,-100,-15,0,0,41,0,0,450
10.09,1547646485,104.14,51.490486,7.414010,164.81,13.60,0.00,78.82,0,-107,-17,0,0,35,0,0,450
11.09,1547646486,117.72,51.490509,7.414211,163.47,14.39,0.00,77.90,0,-107,-17,0,0,35,0,0,450
12.09,1547646487,132.11,51.490536,7.414421,162.12,15.09,0.00,78.31,0,-104,-16,0,0,38,0,0,450
13.09,1547646488,147.21,51.490563,7.414638,160.38,15.30,0.00,79.16,0,-104,-16,0,0,38,0,0,450
14.10,1547646489,162.55,51.490594,7.414853,158.58,15.05,0.00,79.82,0,-102,-15,0,0,39,0,0,62
14.10,1547646489,162.56,51.490594,7.414853,158.58,15.05,0.00,79.82,0,-104,-18,0,0,40,0,0,450
14.10,1547646489,162.56,51.490594,7.414853,158.58,15.05,0.00,79.82,0,-105,-19,0,0,40,0,0,451
15.09,1547646490,177.58,51.490619,7.415066,157.37,15.03,0.00,80.38,0,-102,-15,0,0,39,0,0,62
15.10,1547646490,177.60,51.490619,7.415066,157.37,15.03,0.00,80.38,0,-104,-18,0,0,40,0,0,450
15.10,1547646490,177.61,51.490619,7.415066,157.37,15.03,0.00,80.38,0,-105,-19,0,0,40,0,0,451
16.09,1547646491,192.61,51.490639,7.415276,156.47,14.95,0.00,81.49,0,-100,-13,0,0,39,0,0,62
16.10,1547646491,192.63,51.490639,7.415276,156.47,14.95,0.00,81.49,0,-105,-20,0,0,40,0,0,451
17.09,1547646492,207.56,51.490656,7.415493,155.80,14.98,0.00,83.12,0,-100,-13,0,0,39,0,0,62
17.09,1547646492,207.56,51.490656,7.415493,155.80,14.98,0.00,83.12,0,-105,-20,0,0,40,0,0,451
18.10,1547646493,222.56,51.490668,7.415700,155.10,14.21,0.00,85.32,0,-100,-14,0,0,40,0,0,62
19.09,1547646494,236.74,51.490671,7.415905,154.52,14.15,0.00,87.34,0,-100,-14,0,0,40,0,0,62
20.09,1547646495,250.90,51.490662,7.416122,154.11,15.03,0.00,90.45,0,-89,-12,0,0,53,0,0,275
21.09,1547646496,265.95,51.490643,7.416336,154.22,15.31,0.00,93.29,0,-89,-12,0,0,53,0,0,275
22.09,1547646497,281.25,51.490618,7.416533,154.60,13.79,0.00,96.29,0,-105,-19,0,0,40,0,0,452
