time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.02,1547727609,0.02,51.509781,7.468519,144.63,7.57,0.00,18.07,0,-88,-14,0,0,51,0,0,276
0.02,1547727609,0.02,51.509781,7.468519,144.63,7.57,0.00,18.07,0,-91,-15,0,0,50,0,0,320
1.02,1547727610,7.55,51.509801,7.468647,144.24,7.38,0.00,71.53,0,-88,-14,0,0,51,0,0,276
1.02,1547727610,7.55,51.509801,7.468647,144.24,7.38,0.00,71.53,0,-91,-15,0,0,50,0,0,320
2.02,1547727611,14.92,51.509829,7.468784,144.07,9.35,0.00,71.19,0,-87,-13,0,0,52,0,0,320
3.01,1547727612,24.27,51.509863,7.468916,143.98,9.34,0.00,68.13,0,-87,-13,0,0,52,0,0,320
4.02,1547727613,33.62,51.509903,7.469047,144.14,9.73,0.00,64.92,0,-86,-13,0,0,53,0,0,320
5.01,1547727614,43.34,51.509946,7.469191,144.80,10.80,0.00,63.53,0,-86,-13,0,0,53,0,0,320
6.02,1547727615,54.17,51.510002,7.469345,145.58,12.75,0.00,61.10,0,-90,-9,0,0,51,0,0,399
6.02,1547727615,54.17,51.510002,7.469345,145.58,12.75,0.00,61.10,0,-79,-11,0,0,58,0,0,320
7.02,1547727616,66.90,51.510061,7.469499,146.19,12.92,0.00,60.24,0,-90,-9,0,0,51,0,0,399
7.02,1547727616,66.91,51.510061,7.469499,146.19,12.92,0.00,60.24,0,-79,-11,0,0,58,0,0,320
8.02,1547727617,79.83,51.510129,7.469659,146.74,13.55,0.00,59.49,0,-101,-11,0,0,42,0,0,21
9.02,1547727618,93.38,51.510205,7.469830,147.34,14.49,0.00,58.62,0,-101,-11,0,0,42,0,0,21
10.02,1547727619,108.01,51.510282,7.470003,147.81,14.35,0.00,58.17,0,-107,-14,0,0,39,0,0,21
11.03,1547727620,122.44,51.510355,7.470173,148.88,13.98,0.00,57.02,0,-107,-14,0,0,39,0,0,21
12.01,1547727621,136.16,51.510432,7.470347,151.05,13.93,0.00,55.81,0,-107,-14,0,0,39,0,0,21
12.01,1547727621,136.16,51.510432,7.470347,151.05,13.93,0.00,55.81,0,-88,-15,0,0,56,0,0,441
12.01,1547727621,136.16,51.510432,7.470347,151.05,13.93,0.00,55.81,0,-92,-19,0,0,56,0,0,443
13.01,1547727622,150.12,51.510538,7.470575,153.37,13.93,0.00,56.71,0,-107,-14,0,0,39,0,0,21
13.01,1547727622,150.12,51.510538,7.470575,153.37,13.93,0.00,56.71,0,-88,-15,0,0,56,0,0,441
13.01,1547727622,150.12,51.510538,7.470575,153.37,13.93,0.00,56.71,0,-92,-19,0,0,56,0,0,443
14.02,1547727623,164.18,51.510633,7.470759,155.78,14.21,0.00,52.86,0,-90,-15,0,0,54,0,0,441
14.02,1547727623,164.18,51.510633,7.470759,155.78,14.21,0.00,52.86,0,-92,-18,0,0,54,0,0,31
15.02,1547727624,178.27,51.510724,7.470912,157.58,13.28,0.00,46.55,0,-90,-15,0,0,54,0,0,441
15.02,1547727624,178.28,51.510724,7.470912,157.58,13.28,0.00,46.55,0,-92,-18,0,0,54,0,0,31
16.02,1547727625,191.55,51.510822,7.471040,158.42,14.18,0.00,44.38,0,-90,-15,0,0,54,0,0,441
16.02,1547727625,191.56,51.510822,7.471040,158.42,14.18,0.00,44.38,0,-92,-18,0,0,54,0,0,31
17.02,1547727626,205.73,51.510928,7.471176,158.64,15.19,0.00,42.55,0,-90,-16,0,0,55,0,0,441
17.02,1547727626,205.75,51.510928,7.471176,158.64,15.19,0.00,42.55,0,-93,-20,0,0,55,0,0,443
18.02,1547727627,220.94,51.511033,7.471307,158.39,14.88,0.00,41.53,0,-90,-16,0,0,55,0,0,441
18.02,1547727627,220.95,51.511033,7.471307,158.39,14.88,0.00,41.53,0,-93,-20,0,0,55,0,0,443
19.02,1547727628,235.80,51.511138,7.471429,157.85,14.28,0.00,40.83,0,-87,-15,0,0,57,0,0,441
20.02,1547727629,250.14,51.511240,7.471555,156.73,14.10,0.00,40.34,0,-87,-15,0,0,57,0,0,441
21.03,1547727630,264.38,51.511338,7.471674,155.57,13.79,0.00,39.50,0,-85,-11,0,0,56,0,0,441
22.01,1547727631,277.93,51.511441,7.471787,153.87,13.66,0.00,38.75,0,-85,-11,0,0,56,0,0,441
23.01,1547727632,291.56,51.511538,7.471902,152.89,13.23,0.00,39.12,0,-83,-13,0,0,58,0,0,441
24.01,1547727633,304.81,51.511632,7.472014,151.73,12.81,0.00,38.88,0,-83,-13,0,0,58,0,0,441
25.01,1547727634,317.60,51.511726,7.472123,150.81,12.85,0.00,38.51,0,-86,-10,0,0,52,0,0,441
26.01,1547727635,330.46,51.511815,7.472228,149.77,12.27,0.00,38.15,0,-86,-10,0,0,52,0,0,441
27.02,1547727636,342.79,51.511898,7.472328,148.76,11.59,0.00,38.05,0,-84,-13,0,0,58,0,0,441
28.01,1547727637,354.35,51.511976,7.472425,147.76,10.93,0.00,38.42,0,-84,-13,0,0,58,0,0,441
29.02,1547727638,365.29,51.512050,7.472511,146.89,9.96,0.00,38.00,0,-82,-12,0,0,59,0,0,441
30.02,1547727639,375.28,51.512123,7.472590,145.85,9.22,0.00,36.30,0,-82,-12,0,0,59,0,0,441
31.02,1547727640,384.49,51.512194,7.472661,145.11,8.70,0.00,32.22,0,-82,-12,0,0,60,0,0,441
32.01,1547727641,393.14,51.512255,7.472712,144.64,7.63,0.00,28.45,0,-82,-12,0,0,60,0,0,441
33.01,1547727642,400.77,51.512284,7.472716,144.62,3.09,0.00,7.69,0,-82,-18,0,0,63,0,0,441
34.01,1547727643,403.87,51.512298,7.472718,144.67,1.11,0.00,7.69,0,-82,-18,0,0,63,0,0,441
35.02,1547727644,404.98,51.512330,7.472710,144.77,1.11,0.00,19.02,0,-78,-16,0,0,63,0,0,441
