time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.09,1547727954,129.54,51.510261,7.469955,152.12,13.93,0.00,58.30,1,-97,-11,-5,2,46,1,13403661,21,0,2.00,2.86,46.00,2680
19.93,1547727964,212.66,51.510782,7.470971,156.58,3.43,-1.29,42.07,1,-105,-9,6,7,36,4,14345743,399,1,8.00,15.56,49.00,2680
29.91,1547727974,224.59,51.510846,7.471038,155.61,0.00,0.00,40.17,1,-104,-10,9,11,38,4,14345743,399,2,4.00,14.14,84.00,2680
39.92,1547727984,257.19,51.511235,7.471460,140.97,12.28,1.72,38.74,1,-99,-7,16,8,40,4,14345743,399,3,8.00,14.74,48.00,2680
49.93,1547727994,382.76,51.512100,7.472567,134.66,10.98,-0.33,33.28,1,-93,-6,23,15,45,4,14345743,399,4,4.00,22.76,74.00,2680
59.95,1547728004,421.77,51.512368,7.472715,138.93,0.00,0.00,10.06,1,-86,-6,27,15,51,4,14345743,399,5,1.00,5.74,39.00,2680
69.91,1547728014,421.77,51.512368,7.472715,139.12,0.00,0.00,10.06,1,-86,-6,28,15,52,4,14345743,399,6,3.00,11.37,47.00,2680
79.93,1547728024,421.77,51.512368,7.472715,139.44,0.00,0.00,10.06,1,-86,-7,29,15,51,4,14345743,399,7,10.00,31.01,49.00,2680
89.91,1547728034,430.27,51.512745,7.472731,146.36,8.50,0.00,2.72,1,-83,-7,19,15,55,4,14345743,399,8,1.00,6.84,67.00,2680
99.98,1547728044,529.88,51.513630,7.472900,153.14,7.57,-0.84,3.56,1,-104,-11,-4,4,40,4,14345743,399,9,7.00,11.43,108.00,2680
109.95,1547728054,569.21,51.513907,7.472939,156.79,0.00,0.00,3.08,1,-100,-12,14,12,44,5,14345741,400,10,2.00,6.88,47.00,2680
119.93,1547728064,586.87,51.514376,7.472967,148.85,8.18,-0.51,2.94,1,-96,-7,23,13,43,5,14345741,400,11,3.00,6.06,173.00,2680
129.93,1547728074,680.49,51.515262,7.473004,142.72,12.72,-0.13,358.94,1,-102,-11,16,12,41,5,14345741,400,12,9.00,10.09,152.00,2680
139.95,1547728084,813.56,51.516296,7.472150,134.93,13.42,-0.36,321.23,1,-104,-11,13,9,40,5,14345741,400,13,7.00,14.55,55.00,2680
149.97,1547728094,954.40,51.516852,7.470289,129.00,13.38,-0.42,294.56,1,-108,-10,5,4,35,5,14345741,400,14,4.00,2.83,54.00,2680
160.78,1547728105,1095.91,51.517276,7.468317,130.82,13.86,0.86,288.84,1,-93,-12,0,5,45,13,12903169,15,15,0.10,2.17,561.00,850
170.60,1547728115,1220.38,51.517732,7.466718,130.91,11.78,-0.42,291.14,1,-94,-17,-8,4,47,24,12904963,191,16,2.00,1.39,306.00,850
181.60,1547728126,1316.29,51.517829,7.465346,139.15,5.46,0.63,273.87,1,-94,-17,-4,4,48,14,13420546,176,17,2.00,2.47,862.00,850
189.88,1547728134,1380.65,51.517793,7.464367,134.78,10.39,-0.00,261.92,1,-89,-14,-1,5,49,14,13420546,139,18,5.00,2.33,66.00,850
201.07,1547728145,1510.92,51.517402,7.462755,145.59,10.41,0.00,248.16,1,-96,-19,-8,1,48,14,13420546,139,19,3.00,2.35,38.00,850
211.00,1547728155,1638.46,51.516946,7.460791,148.40,14.27,0.29,251.76,1,-101,-16,-4,4,47,4,12899854,488,20,6.00,11.43,58.00,2680
219.93,1547728164,1747.95,51.516689,7.459282,143.16,12.76,0.02,256.42,1,-95,-9,18,10,45,4,12899854,16,21,0.10,4.21,133.00,2680
229.96,1547728174,1858.46,51.516513,7.457831,137.22,7.69,-1.15,255.52,1,-85,-10,21,10,57,4,12899854,16,22,7.00,20.94,54.00,2680
239.93,1547728184,1894.05,51.516457,7.457369,138.60,0.00,0.00,273.30,1,-85,-8,21,11,55,4,12899854,16,23,2.00,7.15,131.00,2680
249.96,1547728194,1908.27,51.516375,7.456890,140.17,6.45,1.39,252.66,1,-84,-9,18,12,57,4,12899854,16,24,0.50,5.13,47.00,2680
