time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.06,1547728391,0.01,51.509813,7.467388,153.40,11.96,0.00,92.92,0,-64,-5,0,0,63,0,0,138
1.06,1547728392,12.03,51.509806,7.467577,152.64,12.16,0.00,94.24,0,-64,-5,0,0,63,0,0,138
2.06,1547728393,24.21,51.509794,7.467761,151.88,12.37,0.00,94.91,0,-67,-5,0,0,63,0,0,138
3.06,1547728394,36.57,51.509782,7.467943,150.84,12.36,0.00,95.61,0,-67,-5,0,0,63,0,0,138
4.06,1547728395,48.92,51.509776,7.468124,149.57,12.20,0.00,93.42,0,-71,-5,0,0,63,0,0,138
5.06,1547728396,61.12,51.509773,7.468304,149.31,12.23,0.00,90.97,0,-71,-5,0,0,63,0,0,138
6.06,1547728397,73.37,51.509781,7.468463,149.07,11.62,0.00,87.81,0,-73,-7,0,0,63,0,0,138
7.06,1547728398,84.98,51.509807,7.468615,148.83,11.05,0.00,75.04,0,-73,-7,0,0,63,0,0,138
8.06,1547728399,96.02,51.509837,7.468763,148.30,10.44,0.00,75.23,0,-76,-6,0,0,61,0,0,138
9.06,1547728400,106.47,51.509878,7.468911,148.13,10.44,0.00,78.94,0,-76,-6,0,0,61,0,0,138
10.07,1547728401,116.97,51.509941,7.469062,147.83,11.43,0.00,72.89,0,-101,-10,0,0,41,0,0,324
10.07,1547728401,116.98,51.509941,7.469062,147.83,11.43,0.00,72.89,0,-101,-10,0,0,41,0,0,374
10.07,1547728401,116.99,51.509941,7.469062,147.83,11.43,0.00,72.89,0,-74,-6,0,0,63,0,0,138
11.06,1547728402,128.29,51.510005,7.469206,148.10,11.57,0.00,66.29,0,-101,-10,0,0,41,0,0,324
11.06,1547728402,128.29,51.510005,7.469206,148.10,11.57,0.00,66.29,0,-101,-10,0,0,41,0,0,374
11.06,1547728402,128.31,51.510005,7.469206,148.10,11.57,0.00,66.29,0,-74,-6,0,0,63,0,0,138
14.07,1547728405,163.99,51.510180,7.469665,147.31,12.22,0.00,57.41,0,-98,-11,0,0,44,0,0,372
14.07,1547728405,163.99,51.510180,7.469665,147.31,12.22,0.00,57.41,0,-101,-10,0,0,40,0,0,199
14.07,1547728405,164.00,51.510180,7.469665,147.31,12.22,0.00,57.41,0,-84,-6,0,0,53,0,0,138
15.06,1547728406,176.19,51.510245,7.469816,147.48,12.43,0.00,57.45,0,-98,-11,0,0,44,0,0,372
15.06,1547728406,176.20,51.510245,7.469816,147.48,12.43,0.00,57.45,0,-101,-10,0,0,40,0,0,199
15.07,1547728406,176.21,51.510245,7.469816,147.48,12.43,0.00,57.45,0,-84,-6,0,0,53,0,0,138
16.06,1547728407,188.62,51.510310,7.469979,147.84,13.07,0.00,57.07,0,-98,-11,0,0,44,0,0,372
16.06,1547728407,188.63,51.510310,7.469979,147.84,13.07,0.00,57.07,0,-101,-10,0,0,40,0,0,199
16.07,1547728407,188.64,51.510310,7.469979,147.84,13.07,0.00,57.07,0,-84,-6,0,0,53,0,0,138
17.06,1547728408,201.67,51.510371,7.470149,148.79,12.73,0.00,57.75,0,-87,-8,0,0,51,0,0,138
18.06,1547728409,214.39,51.510435,7.470310,148.63,12.64,0.00,55.47,0,-87,-8,0,0,51,0,0,138
19.06,1547728410,227.04,51.510504,7.470460,148.36,12.94,0.00,54.36,0,-86,-8,0,0,52,0,0,138
20.07,1547728411,240.01,51.510573,7.470633,147.98,13.23,0.00,52.62,0,-86,-8,0,0,52,0,0,138
21.06,1547728412,253.15,51.510651,7.470788,148.05,13.15,0.00,50.00,0,-86,-9,0,0,53,0,0,138
21.06,1547728412,253.17,51.510651,7.470788,148.05,13.15,0.00,50.00,0,-89,-12,0,0,52,0,0,296
22.06,1547728413,266.37,51.510734,7.470930,148.50,12.93,0.00,47.67,0,-86,-9,0,0,53,0,0,138
22.06,1547728413,266.37,51.510734,7.470930,148.50,12.93,0.00,47.67,0,-89,-12,0,0,52,0,0,296
23.06,1547728414,279.26,51.510825,7.471046,148.54,13.41,0.00,45.17,0,-93,-13,0,0,49,0,0,138
23.06,1547728414,279.26,51.510825,7.471046,148.54,13.41,0.00,45.17,0,-93,-13,0,0,49,0,0,152
24.06,1547728415,292.72,51.510918,7.471155,148.01,13.23,0.00,43.34,0,-93,-13,0,0,49,0,0,138
