time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.18,1547728401,116.96,51.509941,7.469062,147.83,11.43,0.98,72.89,1,-96,-7,4,10,41,7,26379013,199,0,0.50,7.87,47.00,2650
20.18,1547728411,240.00,51.510573,7.470633,147.98,13.23,0.29,52.62,1,-92,-7,10,10,46,4,27256325,372,1,2.00,15.95,35.00,2650
30.15,1547728421,375.76,51.511526,7.471855,145.27,14.23,0.34,39.33,1,-85,-6,18,11,52,4,27256325,372,2,0.50,14.13,37.00,2650
40.18,1547728432,509.22,51.512544,7.472854,147.90,13.61,1.63,13.47,1,-87,-5,11,9,49,4,27256325,372,3,10.00,14.22,39.00,2650
50.18,1547728442,634.59,51.513657,7.472974,161.45,7.05,-1.75,3.93,1,-84,-6,12,6,53,7,27299331,324,4,10.00,17.06,39.00,2650
60.21,1547728452,653.12,51.513777,7.472986,164.24,0.00,0.00,2.33,1,-92,-8,19,12,47,9,29398276,358,5,0.50,5.19,57.00,2650
70.16,1547728462,697.31,51.514446,7.472931,160.51,8.44,-0.27,4.51,1,-89,-7,19,11,49,9,29398276,358,6,5.00,20.43,37.00,2650
80.16,1547728472,733.76,51.514728,7.472962,155.36,0.00,0.00,5.09,1,-91,-6,16,11,47,9,29398276,358,7,1.00,9.66,43.00,2650
90.17,1547728481,733.76,51.514728,7.472962,155.35,0.00,0.00,5.09,1,-91,-6,19,1,46,9,29398276,358,8,9.00,22.29,39.00,2650
100.17,1547728491,733.76,51.514728,7.472962,155.19,0.00,0.00,5.09,1,-91,-6,14,10,47,9,29398276,358,9,0.10,2.74,43.00,2650
110.17,1547728501,733.76,51.514728,7.472962,154.79,0.00,0.00,5.09,1,-91,-7,13,9,48,9,29398276,358,10,7.00,13.45,44.00,2650
120.19,1547728511,733.76,51.514728,7.472962,154.33,0.00,0.00,5.09,1,-90,-5,20,8,47,9,29398276,358,11,6.00,13.97,45.00,2650
130.19,1547728521,733.76,51.514728,7.472962,154.28,0.00,0.00,5.09,1,-91,-6,18,9,47,9,29398276,358,12,8.00,20.61,45.00,2650
