time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.04,1547728393,0.00,51.509852,7.467568,156.29,11.35,0.00,94.60,1,-86,-7,16,12,34,9,12902921,323
1.04,1547728394,11.39,51.509843,7.467747,155.38,12.39,1.04,94.94,1,-86,-7,16,12,34,9,12902921,323
2.05,1547728395,23.90,51.509839,7.467923,154.72,12.48,0.09,94.49,1,-95,-8,13,11,32,9,12902921,323
3.04,1547728396,36.26,51.509836,7.468103,154.08,12.33,-0.15,92.90,1,-95,-8,13,11,32,9,12902921,323
4.04,1547728397,48.59,51.509832,7.468285,153.79,12.11,-0.22,90.23,1,-95,-8,13,11,32,9,12902921,323
5.04,1547728398,60.70,51.509839,7.468443,153.25,11.25,-0.86,88.18,1,-93,-8,10,9,38,9,12902921,323
6.04,1547728399,71.95,51.509855,7.468594,152.81,10.66,-0.59,86.14,1,-93,-8,10,9,38,9,12902921,323
7.04,1547728400,82.61,51.509875,7.468746,152.54,10.72,0.05,83.24,1,-99,-9,10,11,29,9,12902921,323
8.04,1547728401,93.33,51.509915,7.468890,151.95,11.12,0.40,68.34,1,-99,-9,10,11,29,9,12902921,323
9.04,1547728402,104.46,51.509964,7.469042,151.52,11.12,0.00,75.65,1,-100,-8,11,15,25,9,12902921,323
10.04,1547728403,115.58,51.510006,7.469206,151.77,11.28,0.16,68.04,1,-100,-8,11,15,25,9,12902921,323
11.04,1547728404,126.87,51.510067,7.469351,151.77,11.19,-0.09,60.16,1,-101,-10,8,12,26,9,12902921,323
12.04,1547728405,138.02,51.510130,7.469506,151.71,11.64,0.45,59.81,1,-101,-10,8,12,26,9,12902921,323
13.04,1547728406,149.72,51.510188,7.469651,151.60,12.07,0.43,58.87,1,-104,-14,5,10,26,9,12902921,323
14.04,1547728407,161.73,51.510254,7.469799,151.28,12.47,0.40,58.44,1,-104,-14,5,10,26,9,12902921,323
15.04,1547728408,174.21,51.510321,7.469956,151.00,12.77,0.30,58.19,1,-101,-13,5,15,28,9,12902921,323
16.04,1547728409,187.02,51.510396,7.470156,151.80,12.77,0.00,58.87,1,-101,-13,5,15,28,9,12902921,323
17.04,1547728410,199.79,51.510465,7.470288,151.48,11.95,-0.82,54.58,1,-103,-11,4,9,23,9,12902921,323
18.04,1547728411,211.72,51.510539,7.470436,150.52,12.70,0.75,54.14,1,-103,-11,4,9,23,9,12902921,323
19.12,1547728412,225.43,51.510611,7.470684,151.28,12.70,0.00,55.66,1,-99,-9,4,7,28,9,12902921,323
20.04,1547728413,237.13,51.510696,7.470816,152.01,13.02,0.35,44.61,1,-99,-9,4,7,28,9,12902921,323
21.04,1547728414,250.16,51.510771,7.470966,152.38,12.91,-0.11,43.85,1,-106,-12,5,6,25,9,12902921,323
22.04,1547728415,263.06,51.510841,7.471078,152.35,11.64,-1.27,43.50,1,-106,-12,5,6,25,9,12902921,323
23.05,1547728416,274.80,51.510923,7.471198,151.05,13.25,1.60,42.51,1,-112,-14,3,5,18,9,12902921,323
24.04,1547728417,287.89,51.511010,7.471308,149.57,13.65,0.41,41.33,1,-112,-14,3,5,18,9,12902921,323
25.04,1547728418,301.54,51.511105,7.471415,148.13,13.85,0.20,40.67,1,-112,-14,3,5,18,9,12902921,323
26.04,1547728419,315.45,51.511208,7.471526,146.76,13.94,0.09,39.74,1,-113,-15,0,6,18,9,12902921,323
