time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.06,1547729201,0.00,51.509831,7.467151,156.23,12.21,0.00,93.96,1,-87,-8,24,15,52,2,13403661,21
1.07,1547729202,12.34,51.509826,7.467334,155.86,12.27,0.06,95.34,1,-84,-7,24,15,55,2,13403661,21
2.06,1547729203,24.53,51.509817,7.467510,155.75,11.72,-0.55,96.04,1,-84,-7,24,15,55,2,13403661,21
3.06,1547729204,36.25,51.509807,7.467694,155.31,12.51,0.79,96.64,1,-84,-7,24,15,55,2,13403661,21
4.06,1547729205,48.75,51.509796,7.467876,154.84,12.75,0.24,96.42,1,-82,-8,25,15,59,2,13403661,21
5.06,1547729206,61.51,51.509790,7.468048,154.48,12.38,-0.38,94.80,1,-82,-8,25,15,59,2,13403661,21
6.06,1547729207,73.89,51.509788,7.468222,154.23,11.89,-0.49,92.81,1,-89,-6,23,12,51,2,13403661,21
7.06,1547729208,85.77,51.509789,7.468389,154.60,11.53,-0.35,89.92,1,-89,-6,23,12,51,2,13403661,21
8.06,1547729209,97.32,51.509798,7.468546,154.85,11.39,-0.14,86.48,1,-85,-7,21,15,54,2,13403661,21
9.06,1547729210,108.71,51.509826,7.468684,154.42,11.39,0.00,89.35,1,-85,-7,21,15,54,2,13403661,21
10.06,1547729211,120.12,51.509879,7.468847,153.57,12.21,0.82,66.61,1,-97,-9,1,2,44,2,13403661,21
11.06,1547729212,132.33,51.509928,7.469017,152.74,12.09,-0.12,65.03,1,-97,-9,1,2,44,2,13403661,21
12.06,1547729213,144.42,51.509985,7.469188,152.38,12.66,0.57,62.41,1,-96,-15,3,5,55,6,13403661,21
13.06,1547729214,157.09,51.510038,7.469352,151.99,12.53,-0.13,61.38,1,-96,-15,3,5,55,6,13403661,21
14.06,1547729215,169.59,51.510095,7.469516,151.66,13.07,0.54,60.18,1,-99,-12,0,9,46,6,13403661,21
15.06,1547729216,182.70,51.510152,7.469678,151.27,12.92,-0.15,59.47,1,-99,-12,0,9,46,6,13403661,21
16.06,1547729217,195.58,51.510209,7.469840,151.13,13.05,0.12,58.84,1,-102,-10,3,7,40,5,14345743,399
17.06,1547729218,208.63,51.510272,7.470005,150.57,13.10,0.06,58.08,1,-102,-10,3,7,40,5,14345743,399
18.06,1547729219,221.74,51.510331,7.470178,151.08,13.00,-0.10,58.13,1,-102,-9,4,7,40,5,14345743,399
19.06,1547729220,234.74,51.510393,7.470344,151.33,12.25,-0.75,56.80,1,-102,-9,4,7,40,5,14345743,399
20.06,1547729221,247.01,51.510457,7.470498,151.43,11.66,-0.60,55.48,1,-103,-9,7,7,38,5,14345743,399
21.06,1547729222,258.68,51.510524,7.470630,151.77,10.94,-0.72,53.37,1,-103,-9,7,7,38,5,14345743,399
22.08,1547729223,269.77,51.510590,7.470747,152.57,10.13,-0.80,51.17,1,-103,-10,3,8,40,5,14345743,399
23.06,1547729224,279.75,51.510654,7.470853,153.94,9.52,-0.62,48.41,1,-103,-10,3,8,40,5,14345743,399
24.06,1547729225,289.27,51.510715,7.470944,154.68,8.32,-1.19,45.95,1,-103,-10,3,8,40,5,14345743,399
25.06,1547729226,297.59,51.510775,7.471020,154.43,7.43,-0.90,44.06,1,-103,-7,24,11,36,5,14345743,399
26.06,1547729227,305.01,51.510827,7.471082,153.91,6.65,-0.78,42.58,1,-103,-7,24,11,36,5,14345743,399
27.06,1547729228,311.66,51.510865,7.471125,152.93,5.01,-1.64,40.97,1,-102,-7,9,9,37,5,14345743,399
28.06,1547729229,316.67,51.510885,7.471147,152.82,2.61,-2.39,41.38,1,-102,-7,9,9,37,5,14345743,399
