time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
19.78,1547729678,252.90,51.510909,7.471160,145.13,15.47,0.18,43.37,1,-111,-13,1,8,19,9,12902921,323,1,5.00,8.10,64.00,20.14,1770
29.88,1547729688,406.26,51.511996,7.472494,135.32,14.10,-1.15,37.41,1,-104,-8,5,8,20,7,13175305,66,2,0.50,8.81,41.00,20.31,1770
49.74,1547729708,614.00,51.513768,7.472925,141.29,0.00,-0.44,2.88,1,-95,-11,5,12,33,7,13175305,66,4,0.50,10.00,44.00,18.52,1770
69.81,1547729728,698.60,51.514718,7.472930,148.13,0.41,-0.72,8.02,1,-77,-7,21,15,46,7,13175305,66,6,1.00,11.54,44.00,-0.19,1770
109.78,1547729768,699.01,51.514718,7.472930,146.97,0.00,0.00,8.02,1,-74,-7,10,12,46,7,13175305,66,10,1.00,14.52,44.00,6.42,1770
119.74,1547729778,699.01,51.514718,7.472930,146.74,0.00,0.00,8.02,1,-74,-7,14,12,46,7,13175305,66,11,0.50,11.94,54.00,6.34,1770
189.75,1547729849,1489.68,51.517553,7.463551,137.82,7.48,-0.15,249.09,1,-86,-7,12,11,39,3,13530894,345,18,5.00,21.66,48.00,19.78,2510
210.12,1547729869,1648.60,51.516992,7.461368,142.19,11.69,2.82,246.21,1,-91,-12,2,7,42,3,13530894,345,20,1.00,2.81,46.00,16.70,2510
222.04,1547729880,1816.45,51.516631,7.458833,127.16,13.65,0.24,258.61,1,-79,-9,2,1,50,5,13406209,460,21,4.00,7.81,158.00,7.17,890
229.86,1547729888,1888.76,51.516501,7.457872,130.31,4.94,-1.64,257.23,1,-80,-10,13,15,50,4,13406209,460,22,1.00,8.12,53.00,-1.88,890
240.01,1547729899,1910.33,51.516457,7.457512,131.35,0.00,0.00,255.53,1,-82,-9,1,10,46,4,13406209,460,23,0.50,5.17,52.00,0.08,890
249.79,1547729908,1917.05,51.516436,7.457255,133.82,2.98,-0.50,253.28,1,-79,-9,10,11,50,4,13406209,460,24,6.00,10.82,63.00,11.19,890
259.81,1547729918,1962.57,51.516247,7.456569,136.44,3.51,0.00,245.56,1,-71,-7,13,15,58,4,13406209,460,25,0.50,5.87,60.00,-0.38,890
269.76,1547729928,2045.64,51.515676,7.455451,132.54,10.58,-1.24,219.11,1,-77,-9,19,11,53,4,13406209,460,26,3.00,6.73,52.00,1.62,890
279.79,1547729938,2155.26,51.514697,7.455216,143.49,13.59,1.08,175.29,1,-86,-9,7,7,43,4,13406209,460,27,4.00,8.06,52.00,17.42,890
289.78,1547729949,2230.50,51.514133,7.455406,142.05,0.00,0.00,173.83,1,-86,-10,16,10,44,4,13406209,460,28,5.00,10.53,53.00,14.74,890
299.76,1547729958,2230.50,51.514133,7.455406,142.53,0.00,0.00,173.83,1,-86,-8,18,9,43,4,13406209,460,29,0.50,6.06,62.00,2.58,890
319.80,1547729979,2230.50,51.514133,7.455406,143.48,0.00,0.00,173.83,1,-85,-7,15,12,43,4,13406209,460,31,9.00,10.54,58.00,18.07,890
329.80,1547729989,2230.50,51.514133,7.455406,143.62,0.00,0.00,173.83,1,-85,-9,16,9,43,4,13406209,460,32,10.00,10.09,53.00,10.82,890
339.79,1547729998,2230.50,51.514133,7.455406,143.84,0.00,0.00,173.83,1,-85,-8,15,10,43,4,13406209,460,33,4.00,8.85,65.00,17.54,890
349.81,1547730009,2230.50,51.513977,7.455378,150.31,0.00,0.00,179.41,1,-86,-10,16,9,44,4,13406209,460,34,7.00,6.29,51.00,16.81,890
359.78,1547730018,2350.38,51.512915,7.456446,151.67,14.35,0.10,131.59,1,-101,-12,-13,4,31,4,13406209,460,35,5.00,5.75,62.00,20.66,890
369.77,1547730028,2503.20,51.512161,7.458218,145.67,14.98,-0.18,124.95,1,-98,-10,-1,11,32,5,13406222,182,36,3.00,6.89,76.00,20.38,2510
379.82,1547730038,2655.29,51.511313,7.459975,141.17,15.77,0.56,127.47,1,-114,-14,-2,6,21,5,13406222,182,37,9.00,13.10,66.00,20.50,2510
400.02,1547730058,2840.42,51.510229,7.461854,146.70,0.00,0.00,141.03,1,-103,-7,12,9,24,6,13830157,210,39,2.00,5.23,49.00,20.33,2510
419.83,1547730078,2914.12,51.509825,7.463139,147.57,7.69,-1.04,102.51,1,-104,-8,11,9,22,6,13830157,210,41,9.00,7.64,47.00,21.77,2510
429.82,1547730088,2973.00,51.509837,7.463978,152.44,4.29,-0.15,93.70,1,-109,-10,4,6,22,6,13830157,210,42,10.00,7.28,55.00,21.84,2510
