time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.05,1547801775,0.03,51.509837,7.468693,143.14,8.69,0.00,53.00,0,-107,-12,0,0,25,0,0,91
0.05,1547801775,0.03,51.509837,7.468693,143.14,8.69,0.00,53.00,0,-108,-12,0,0,25,0,0,90
1.05,1547801776,8.74,51.509869,7.468834,143.31,10.12,0.00,69.23,0,-108,-9,0,0,20,0,0,90
1.05,1547801776,8.75,51.509869,7.468834,143.31,10.12,0.00,69.23,0,-113,-14,0,0,20,0,0,91
2.05,1547801777,18.85,51.509914,7.468982,143.36,11.64,0.00,66.35,0,-108,-9,0,0,20,0,0,90
2.05,1547801777,18.86,51.509914,7.468982,143.36,11.64,0.00,66.35,0,-113,-14,0,0,20,0,0,91
5.05,1547801780,56.65,51.510102,7.469494,143.27,14.66,0.00,60.82,0,-104,-10,0,0,27,0,0,66
6.05,1547801781,71.31,51.510179,7.469675,143.58,15.23,0.00,59.62,0,-104,-10,0,0,27,0,0,66
7.05,1547801782,86.54,51.510254,7.469855,143.74,15.10,0.00,58.59,0,-105,-11,0,0,28,0,0,66
8.05,1547801783,101.64,51.510324,7.470040,144.28,14.88,0.00,57.97,0,-105,-11,0,0,28,0,0,66
9.05,1547801784,116.53,51.510393,7.470207,144.92,13.38,0.00,57.90,0,-107,-10,0,0,24,0,0,66
9.06,1547801784,116.54,51.510393,7.470207,144.92,13.38,0.00,57.90,0,-108,-15,0,0,28,0,0,90
9.06,1547801784,116.56,51.510393,7.470207,144.92,13.38,0.00,57.90,0,-110,-18,0,0,27,0,0,485
9.06,1547801784,116.56,51.510393,7.470207,144.92,13.38,0.00,57.90,0,-110,-17,0,0,25,0,0,35
10.05,1547801785,129.91,51.510466,7.470367,145.24,13.33,0.00,57.07,0,-107,-10,0,0,24,0,0,66
10.06,1547801785,129.92,51.510466,7.470367,145.24,13.33,0.00,57.07,0,-108,-15,0,0,28,0,0,90
10.06,1547801785,129.94,51.510466,7.470367,145.24,13.33,0.00,57.07,0,-110,-18,0,0,27,0,0,485
10.06,1547801785,129.94,51.510466,7.470367,145.24,13.33,0.00,57.07,0,-110,-17,0,0,25,0,0,35
13.06,1547801788,170.54,51.510720,7.470813,145.07,13.50,0.00,48.31,0,-109,-14,0,0,27,0,0,323
14.05,1547801789,183.94,51.510815,7.470943,144.80,12.93,0.00,45.88,0,-109,-14,0,0,27,0,0,323
15.05,1547801790,196.90,51.510911,7.471065,144.32,13.10,0.00,43.85,0,-109,-14,0,0,27,0,0,323
16.05,1547801791,210.01,51.511013,7.471191,143.79,13.87,0.00,41.99,0,-111,-12,0,0,21,0,0,323
16.05,1547801791,210.02,51.511013,7.471191,143.79,13.87,0.00,41.99,0,-114,-15,0,0,22,0,0,218
17.05,1547801792,223.86,51.511122,7.471314,143.53,14.03,0.00,40.79,0,-111,-12,0,0,21,0,0,323
17.05,1547801792,223.87,51.511122,7.471314,143.53,14.03,0.00,40.79,0,-114,-15,0,0,22,0,0,218
18.05,1547801793,237.90,51.511228,7.471435,143.74,13.89,0.00,40.40,0,-110,-14,0,0,24,0,0,351
18.05,1547801793,237.91,51.511228,7.471435,143.74,13.89,0.00,40.40,0,-110,-13,0,0,23,0,0,323
19.05,1547801794,251.81,51.511332,7.471563,143.67,14.61,0.00,39.98,0,-110,-14,0,0,24,0,0,351
19.05,1547801794,251.82,51.511332,7.471563,143.67,14.61,0.00,39.98,0,-110,-13,0,0,23,0,0,323
20.05,1547801795,266.35,51.511434,7.471696,143.00,14.47,0.00,40.82,0,-110,-14,0,0,24,0,0,351
21.05,1547801796,280.83,51.511539,7.471828,142.41,14.57,0.00,40.34,0,-110,-14,0,0,24,0,0,351
24.05,1547801799,322.76,51.511833,7.472186,139.23,13.33,0.00,40.38,0,-110,-12,0,0,23,0,0,322
25.05,1547801800,336.10,51.511929,7.472302,138.37,13.56,0.00,39.63,0,-110,-12,0,0,23,0,0,322
26.05,1547801801,349.67,51.512023,7.472418,138.15,13.15,0.00,38.59,0,-107,-14,0,0,26,0,0,68
26.05,1547801801,349.68,51.512023,7.472418,138.15,13.15,0.00,38.59,0,-108,-15,0,0,27,0,0,282
27.05,1547801802,362.82,51.512121,7.472519,137.78,11.87,0.00,36.74,0,-107,-14,0,0,26,0,0,68
27.05,1547801802,362.82,51.512121,7.472519,137.78,11.87,0.00,36.74,0,-108,-15,0,0,27,0,0,282
28.05,1547801803,374.69,51.512205,7.472612,136.94,10.14,0.00,34.38,0,-102,-12,0,0,31,0,0,68
28.05,1547801803,374.69,51.512205,7.472612,136.94,10.14,0.00,34.38,0,-105,-16,0,0,31,0,0,323
29.05,1547801804,384.82,51.512270,7.472669,136.40,7.11,0.00,31.06,0,-102,-12,0,0,31,0,0,68
29.05,1547801804,384.82,51.512270,7.472669,136.40,7.11,0.00,31.06,0,-105,-16,0,0,31,0,0,323
30.06,1547801805,391.98,51.512319,7.472684,137.06,4.68,0.00,10.20,0,-99,-10,0,0,31,0,0,68
30.06,1547801805,391.98,51.512319,7.472684,137.06,4.68,0.00,10.20,0,-102,-17,0,0,34,0,0,78
31.05,1547801806,396.62,51.512362,7.472689,137.17,4.09,0.00,8.55,0,-99,-10,0,0,31,0,0,68
31.05,1547801806,396.62,51.512362,7.472689,137.17,4.09,0.00,8.55,0,-102,-17,0,0,34,0,0,78
32.05,1547801807,400.70,51.512457,7.472721,134.90,2.70,0.00,9.17,0,-105,-18,0,0,32,0,0,486
32.05,1547801807,400.70,51.512457,7.472721,134.90,2.70,0.00,9.17,0,-104,-14,0,0,30,0,0,68
