time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.22,1547802119,128.70,51.510150,7.469633,148.40,14.24,-0.17,59.89,1,-100,-10,5,6,26,7,12902921,323,0,10.00,25.92,32.00,1865
21.45,1547802130,284.56,51.511115,7.471324,145.15,14.82,-0.52,41.57,1,-110,-10,5,8,17,7,12902921,323,1,0.10,50.00,36.00,1865
30.23,1547802139,415.33,51.512076,7.472493,138.34,13.26,-0.36,39.44,1,-91,-9,10,9,36,7,13175298,60,2,7.00,24.70,30.00,860
40.24,1547802149,547.61,51.513203,7.472864,134.69,13.88,0.09,4.56,1,-90,-9,5,9,37,7,13175298,60,3,8.00,34.45,26.00,860
50.22,1547802159,676.11,51.514363,7.472903,139.09,12.16,-0.34,2.36,1,-79,-10,11,12,52,7,13175298,60,4,4.00,38.23,30.00,860
60.23,1547802169,797.73,51.515468,7.472916,136.22,13.50,1.41,353.51,1,-69,-7,18,15,58,7,13175298,60,5,0.10,5.71,99.00,860
70.25,1547802179,931.86,51.516458,7.471823,131.07,14.07,1.29,309.27,1,-86,-16,-4,5,49,7,13175298,60,6,5.00,22.47,28.00,860
80.22,1547802189,1069.12,51.516906,7.469997,127.23,11.18,-1.45,278.63,1,-84,-11,1,8,47,4,13175299,62,7,9.00,51.76,31.00,860
90.25,1547802199,1121.04,51.517000,7.469327,127.40,0.00,0.00,286.62,1,-102,-11,3,6,28,5,13530894,345,8,6.00,27.49,30.00,2630
100.23,1547802209,1121.04,51.517000,7.469327,127.33,0.00,0.00,286.62,1,-102,-12,2,7,28,5,13530894,345,9,9.00,22.54,29.00,2630
110.23,1547802219,1121.04,51.517000,7.469327,127.11,0.00,0.00,286.62,1,-100,-10,4,9,29,5,13530894,345,10,4.00,25.48,29.00,2630
120.21,1547802229,1121.04,51.517000,7.469327,126.79,0.00,0.00,286.62,1,-101,-11,2,9,29,5,13530894,345,11,7.00,23.28,27.00,2630
130.26,1547802239,1121.04,51.517000,7.469327,126.49,0.00,0.00,286.62,1,-100,-11,4,9,29,5,13530894,345,12,6.00,21.08,30.00,2630
140.27,1547802249,1121.04,51.517000,7.469327,126.27,0.00,0.00,286.62,1,-100,-11,4,8,31,5,13530894,345,13,5.00,22.65,28.00,2630
150.27,1547802259,1214.01,51.517386,7.467786,126.85,15.62,0.23,294.37,1,-92,-14,2,10,41,5,13530894,345,14,3.00,33.99,28.00,2630
160.24,1547802269,1365.28,51.517861,7.465753,128.06,10.65,-1.61,280.51,1,-79,-6,8,12,46,3,13530894,345,15,6.00,44.28,32.00,2630
170.26,1547802279,1399.53,51.517865,7.465338,128.94,0.00,0.00,272.75,1,-85,-8,13,10,42,3,13530894,345,16,1.00,44.94,27.00,2630
180.26,1547802289,1406.34,51.517857,7.465129,132.47,4.35,0.55,267.87,1,-83,-7,13,15,43,3,13530894,345,17,6.00,62.58,33.00,2630
190.27,1547802299,1484.44,51.517749,7.463991,130.52,10.13,0.16,255.60,1,-82,-6,14,12,44,3,13530894,345,18,6.00,56.07,31.00,2630
200.22,1547802309,1590.32,51.517417,7.462554,130.45,11.60,0.39,247.38,1,-80,-7,11,15,47,3,13530894,345,19,1.00,36.20,29.00,2630
210.21,1547802319,1711.81,51.517138,7.460855,129.22,11.62,0.25,251.68,1,-86,-7,8,15,39,3,13530894,345,20,4.00,14.49,37.00,2630
220.73,1547802329,1839.12,51.516760,7.459130,134.15,13.04,-0.39,256.94,1,-87,-7,4,8,39,5,13530638,105,21,0.10,17.39,36.00,2630
230.24,1547802339,1956.11,51.516517,7.457510,133.50,7.78,-1.73,256.64,1,-78,-9,7,7,53,4,13406209,460,22,10.00,47.68,43.00,860
240.24,1547802349,1987.14,51.516435,7.457142,136.59,0.00,-0.39,238.59,1,-74,-8,11,10,54,4,13406209,460,23,0.50,15.75,31.00,860
250.24,1547802358,1998.88,51.516381,7.456922,137.08,0.00,0.00,249.30,1,-71,-8,19,10,57,4,13406209,460,24,6.00,51.17,113.00,860
260.27,1547802369,2070.50,51.516088,7.455794,137.26,10.02,0.79,240.17,1,-61,-7,30,15,63,4,13406209,460,25,0.50,38.46,34.00,860
270.24,1547802379,2183.56,51.515129,7.455153,137.75,13.01,0.11,174.25,1,-81,-8,7,8,47,4,13406209,460,26,2.00,15.21,112.00,860
280.24,1547802389,2326.03,51.513802,7.455527,145.84,13.62,-0.02,169.67,1,-86,-9,13,11,43,4,13406209,460,27,2.00,35.40,30.00,860
290.33,1547802399,2464.15,51.512816,7.456774,146.42,14.54,-0.42,127.54,1,-98,-10,2,7,30,4,13406209,460,28,0.50,12.16,32.00,860
300.24,1547802409,2604.01,51.512137,7.458436,141.29,13.74,0.95,126.33,1,-98,-12,-3,7,32,7,13830146,487,29,8.00,16.94,42.00,860
310.23,1547802419,2745.28,51.511321,7.460107,144.76,13.71,0.41,129.30,1,-98,-9,-4,6,29,5,13830146,487,30,6.00,7.18,34.00,860
320.22,1547802429,2884.08,51.510444,7.461607,144.52,12.20,-0.85,132.61,1,-96,-11,2,6,35,5,13830145,486,31,0.10,10.81,38.00,860
330.31,1547802439,3013.83,51.509889,7.463293,148.82,12.26,-1.10,100.06,1,-73,-8,10,15,58,5,13830145,486,32,5.00,26.95,44.00,860
