time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.23,1547802915,131.83,51.510007,7.469280,147.07,14.86,0.00,64.31,1,-86,-7,0,2,54,2,13403661,21,0,6.00,27.96,46.00,18.06,2560
20.03,1547802924,267.10,51.510713,7.470821,148.65,8.70,-0.90,47.39,1,-100,-8,8,8,41,5,14345743,399,1,0.10,4.94,47.00,20.53,2560
30.05,1547802934,295.39,51.510869,7.470995,147.94,0.00,0.00,40.57,1,-102,-6,11,10,37,5,14345743,399,2,2.00,16.21,51.00,19.95,2560
40.01,1547802945,295.39,51.510948,7.471081,145.16,4.46,0.00,42.06,1,-99,-9,9,9,41,5,14345743,399,3,0.10,3.67,40.00,21.14,2560
50.02,1547802955,338.89,51.511318,7.471521,138.76,9.97,1.64,39.62,1,-96,-7,17,12,43,5,14345743,399,4,1.00,15.78,53.00,20.20,2560
60.04,1547802965,442.29,51.512034,7.472488,136.19,10.48,0.02,39.26,1,-94,-7,22,11,46,5,14345743,399,5,0.10,4.00,44.00,17.38,2560
70.08,1547802975,551.81,51.512954,7.472860,134.16,11.85,-0.21,5.03,1,-93,-8,10,5,47,5,14345743,399,6,6.00,21.66,44.00,13.83,2560
80.08,1547802984,652.71,51.513817,7.472893,133.13,4.68,-2.10,2.56,1,-95,-12,0,6,49,5,14345741,400,7,7.00,27.46,75.00,19.80,2560
90.11,1547802995,664.39,51.513900,7.472887,133.20,0.00,0.00,3.19,1,-98,-12,28,9,46,5,14345741,400,8,9.00,24.96,38.00,13.23,2560
100.07,1547803005,664.39,51.513900,7.472887,133.00,0.00,0.00,3.19,1,-97,-11,12,12,46,5,14345741,400,9,7.00,25.35,58.00,19.22,2560
110.05,1547803015,664.39,51.513900,7.472887,132.72,0.00,0.00,358.86,1,-99,-11,2,9,44,5,14345741,400,10,3.00,20.71,38.00,16.44,2560
120.02,1547803025,725.07,51.514605,7.472898,132.89,8.54,-1.87,3.68,1,-100,-12,12,12,43,5,14345741,400,11,0.50,11.30,39.00,18.44,2560
130.02,1547803035,753.48,51.514809,7.472933,132.54,0.00,0.00,5.00,1,-99,-12,10,11,44,5,14345741,400,12,1.00,16.26,47.00,17.80,2560
140.06,1547803045,830.93,51.515648,7.472834,130.00,13.02,0.22,346.48,1,-96,-7,14,12,43,5,14345741,400,13,8.00,23.28,41.00,17.75,2560
150.20,1547803055,969.09,51.516561,7.471429,132.08,14.80,0.37,295.97,1,-104,-10,10,6,38,5,14345741,400,14,9.00,17.03,38.00,20.75,2560
161.56,1547803066,1123.87,51.517085,7.469357,133.88,13.68,-0.09,289.17,1,-113,-14,-1,6,34,5,14345741,400,15,8.00,5.33,67.00,20.80,2560
170.85,1547803076,1235.63,51.517421,7.467830,136.27,11.96,0.53,295.39,1,-83,-13,-8,6,56,6,14343451,128,16,8.00,4.28,757.00,2.41,1750
181.37,1547803086,1371.00,51.517866,7.466084,133.93,10.50,-0.95,284.51,1,-75,-12,7,9,62,6,14343451,128,17,8.00,2.98,838.00,11.30,1750
191.38,1547803097,1487.27,51.517865,7.464353,135.91,11.82,-0.24,261.67,1,-69,-11,14,9,63,6,14343451,128,18,6.00,1.98,5704.00,1.61,1750
201.21,1547803106,1600.76,51.517525,7.462799,131.78,11.19,0.11,246.62,1,-83,-13,2,8,54,6,14343451,128,19,9.00,11.92,860.00,12.83,1750
210.82,1547803116,1704.49,51.517184,7.461431,134.48,11.17,-0.09,251.03,1,-71,-12,9,8,63,2,13402395,348,20,0.10,0.37,551.00,-2.91,1750
220.89,1547803126,1801.86,51.516908,7.460138,132.49,8.20,-0.15,253.63,1,-59,-11,15,11,63,2,13402395,348,21,6.00,13.43,279.00,-5.66,1750
230.37,1547803135,1882.23,51.516725,7.458976,133.87,7.18,0.35,258.99,1,-79,-13,5,6,59,2,13402395,348,22,1.00,6.72,283.00,-1.72,1750
241.42,1547803146,1961.80,51.516580,7.457857,134.44,5.09,-0.70,258.74,1,-73,-13,1,6,63,2,13402395,348,23,1.00,0.78,1389.00,-4.53,1750
250.62,1547803155,1984.78,51.516545,7.457602,133.93,0.00,0.00,257.99,1,-74,-13,-1,7,63,2,13402395,348,24,1.00,3.86,1240.00,-1.34,1750
260.05,1547803165,1993.48,51.516509,7.457329,133.98,5.70,1.19,257.06,1,-86,-8,14,12,54,4,12899854,16,25,9.00,27.51,49.00,19.39,2560
270.11,1547803175,2076.17,51.516224,7.456137,130.55,9.24,-0.02,240.44,1,-77,-7,13,11,63,4,12899854,16,26,7.00,24.68,41.00,18.78,2560
280.05,1547803185,2183.66,51.515494,7.455096,134.36,11.46,-0.16,199.88,1,-73,-6,23,15,63,4,13404431,488,27,9.00,30.05,40.00,10.34,2560
290.04,1547803195,2312.08,51.514314,7.455265,135.61,10.21,-3.63,171.78,1,-70,-5,25,15,63,4,13404431,488,28,3.00,26.06,36.00,4.86,2560
300.06,1547803205,2335.67,51.514171,7.455307,135.81,0.00,0.00,170.44,1,-74,-5,18,15,63,4,13404431,488,29,1.00,19.42,55.00,2.11,2560
